#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NZ_CP058277.1",20578,21738,"+",,,"HXW97_RS00095","WP_012395785.1",386,"MULTISPECIES: Mrp/NBP35 family ATP-binding protein"
"chromosome","NZ_CP058277.1",21754,22146,"-",,"tatB","HXW97_RS00100","WP_011742078.1",130,"MULTISPECIES: Sec-independent protein translocase subunit TatB"
"chromosome","NZ_CP058277.1",22146,23660,"-",,,"HXW97_RS00105","WP_012395787.1",504,"MULTISPECIES: trypsin-like peptidase domain-containing protein"
"chromosome","NZ_CP058277.1",23832,24236,"-",,,"HXW97_RS00110","WP_011742080.1",134,"MULTISPECIES: DNA-directed RNA polymerase sigma-70 factor"
"chromosome","NZ_CP058277.1",24382,25149,"-",,"sigE","HXW97_RS00115","WP_012395788.1",255,"RNA polymerase sigma factor SigE"
"chromosome","NZ_CP058277.1",25372,26046,"+",,,"HXW97_RS00120","WP_012395789.1",224,"MULTISPECIES: O-methyltransferase"
"chromosome","NZ_CP058277.1",26109,28295,"-",,,"HXW97_RS00125","WP_202097583.1",728,"PPE domain-containing protein"
"chromosome","NZ_CP058277.1",28502,29140,"+",,,"HXW97_RS00130","WP_036456181.1",212,"MULTISPECIES: TetR family transcriptional regulator"
"chromosome","NZ_CP058277.1",29130,30077,"+",,,"HXW97_RS00135","WP_012395792.1",315,"ABC transporter ATP-binding protein"
"chromosome","NZ_CP058277.1",30074,31717,"+",,,"HXW97_RS00140","WP_202097584.1",547,"ABC transporter permease"
"chromosome","NZ_CP058277.1",31746,32420,"+",,,"HXW97_RS00145","WP_012395794.1",224,"MULTISPECIES: isoprenylcysteine carboxylmethyltransferase family protein"
"chromosome","NZ_CP058277.1",32633,34450,"+",,,"HXW97_RS00150","WP_202097585.1",605,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",34694,36490,"+",,,"HXW97_RS00155","WP_202097586.1",598,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",36582,37796,"-",,"glgC","HXW97_RS00160","WP_012395797.1",404,"MULTISPECIES: glucose-1-phosphate adenylyltransferase"
"chromosome","NZ_CP058277.1",38006,39169,"+",,"glgA","HXW97_RS00165","WP_015356791.1",387,"MULTISPECIES: glycogen synthase"
"chromosome","NZ_CP058277.1",39192,39359,"-",,,"HXW97_RS00170","WP_003406247.1",55,"MULTISPECIES: DUF3117 domain-containing protein"
"chromosome","NZ_CP058277.1",39524,40102,"-",,,"HXW97_RS00175","WP_011739206.1",192,"MULTISPECIES: DNA-3-methyladenine glycosylase I"
"chromosome","NZ_CP058277.1",40099,40470,"-",,,"HXW97_RS00180","WP_202097587.1",123,"DivIVA domain-containing protein"
"chromosome","NZ_CP058277.1",40519,41502,"-",,,"HXW97_RS00185","WP_012395800.1",327,"MULTISPECIES: glucosyl-3-phosphoglycerate synthase"
"chromosome","NZ_CP058277.1",41499,42374,"-",,"folP","HXW97_RS00190","WP_015356792.1",291,"MULTISPECIES: dihydropteroate synthase"
"chromosome","NZ_CP058277.1",42464,44245,"-",,,"HXW97_RS00195","WP_012395802.1",593,"long-chain-acyl-CoA synthetase FadD6"
"chromosome","NZ_CP058277.1",44316,44879,"-",,,"HXW97_RS00200","WP_202097588.1",187,"TIGR00730 family Rossman fold protein"
"chromosome","NZ_CP058277.1",44967,47111,"+",,,"HXW97_RS00205","WP_202097589.1",714,"AAA family ATPase"
"chromosome","NZ_CP058277.1",47139,48203,"-",,,"HXW97_RS00210","WP_202097590.1",354,"succinyl-diaminopimelate desuccinylase"
"chromosome","NZ_CP058277.1",48326,49270,"+",,"dapD","HXW97_RS00215","WP_202097591.1",314,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
"chromosome","NZ_CP058277.1",49325,49825,"-",,,"HXW97_RS00220","WP_202097592.1",166,"MarR family transcriptional regulator"
"chromosome","NZ_CP058277.1",50710,51993,"-",,,"HXW97_RS00225","WP_012395807.1",427,"MFS transporter"
"chromosome","NZ_CP058277.1",52784,53035,"+",,,"HXW97_RS00230","WP_096372571.1",83,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",53192,54373,"-",,,"HXW97_RS00235","WP_020726258.1",393,"PPE family protein"
"chromosome","NZ_CP058277.1",54413,54712,"-",,,"HXW97_RS00240","WP_012395810.1",99,"PE family protein"
"chromosome","NZ_CP058277.1",55458,56723,"+",,,"HXW97_RS00245","WP_012395811.1",421,"MULTISPECIES: PucR family transcriptional regulator"
"chromosome","NZ_CP058277.1",56726,58144,"-",,,"HXW97_RS00250","WP_015356806.1",472,"MULTISPECIES: acyl-CoA synthetase"
"chromosome","NZ_CP058277.1",58189,58941,"-",,,"HXW97_RS00255","WP_020726260.1",250,"MULTISPECIES: alpha/beta fold hydrolase"
"chromosome","NZ_CP058277.1",59017,59925,"-",,,"HXW97_RS00260","WP_012395814.1",302,"alpha/beta hydrolase"
"chromosome","NZ_CP058277.1",60107,61573,"-",,,"HXW97_RS00265","WP_012395815.1",488,"aldehyde dehydrogenase family protein"
"chromosome","NZ_CP058277.1",61853,62401,"+",,,"HXW97_RS00270","WP_012395816.1",182,"MaoC family dehydratase N-terminal domain-containing protein"
"chromosome","NZ_CP058277.1",62401,62829,"+",,,"HXW97_RS00275","WP_202097593.1",142,"OB-fold domain-containing protein"
"chromosome","NZ_CP058277.1",62826,63281,"+",,,"HXW97_RS00280","WP_012395818.1",151,"MULTISPECIES: MaoC family dehydratase"
"chromosome","NZ_CP058277.1",63278,64447,"+",,,"HXW97_RS00285","WP_012395819.1",389,"lipid-transfer protein"
"chromosome","NZ_CP058277.1",64455,65084,"+",,,"HXW97_RS00290","WP_012395820.1",209,"TetR/AcrR family transcriptional regulator"
"chromosome","NZ_CP058277.1",65111,66070,"-",,,"HXW97_RS00295","WP_012395821.1",319,"proline dehydrogenase family protein"
"chromosome","NZ_CP058277.1",66070,67701,"-",,"pruA","HXW97_RS00300","WP_012395822.1",543,"L-glutamate gamma-semialdehyde dehydrogenase"
"chromosome","NZ_CP058277.1",67786,69384,"+",,,"HXW97_RS00305","WP_012395823.1",532,"PucR family transcriptional regulator"
"chromosome","NZ_CP058277.1",69472,70275,"+",,,"HXW97_RS00310","WP_012395824.1",267,"Stf0 sulfotransferase family protein"
"chromosome","NZ_CP058277.1",71040,72509,"+",,,"HXW97_RS00315","WP_020726272.1",489,"NarK/NasA family nitrate transporter"
"chromosome","NZ_CP058277.1",72581,73369,"+",,"cysQ","HXW97_RS00320","WP_020726273.1",262,"3\\'(2\\'),5\\'-bisphosphate nucleotidase CysQ"
"chromosome","NZ_CP058277.1",73852,74556,"+",,"cysC","HXW97_RS00325","WP_012395829.1",234,"adenylyl-sulfate kinase"
"chromosome","NZ_CP058277.1",74571,75560,"+",,,"HXW97_RS00330","WP_020726274.1",329,"sulfotransferase domain-containing protein"
"chromosome","NZ_CP058277.1",75706,76629,"+",,,"HXW97_RS00335","WP_036456504.1",307,"HPP family protein"
"chromosome","NZ_CP058277.1",76640,78019,"+",,,"HXW97_RS00340","WP_202097594.1",459,"cation:proton antiporter"
"chromosome","NZ_CP058277.1",78113,79378,"+",,"sat","HXW97_RS00345","WP_012395833.1",421,"sulfate adenylyltransferase"
"chromosome","NZ_CP058277.1",79375,79686,"+",,,"HXW97_RS00350","WP_012395834.1",103,"hypothetical protein"
"chromosome","NZ_CP058277.1",79850,81262,"-",,,"HXW97_RS00355","WP_012395835.1",470,"NarK/NasA family nitrate transporter"
"chromosome","NZ_CP058277.1",82217,83578,"-",,,"HXW97_RS00360","WP_202097595.1",453,"PPE domain-containing protein"
"chromosome","NZ_CP058277.1",85171,86364,"+",,,"HXW97_RS00370","WP_202097596.1",397,"PPE domain-containing protein"
"chromosome","NZ_CP058277.1",86446,87645,"+",,,"HXW97_RS00375","WP_202097597.1",399,"PPE domain-containing protein"
"chromosome","NZ_CP058277.1",88072,90075,"+",,,"HXW97_RS00380","WP_202097598.1",667,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",90110,91669,"-",,,"HXW97_RS00385","WP_117388239.1",519,"FAD-dependent monooxygenase"
"chromosome","NZ_CP058277.1",91943,94762,"+",,,"HXW97_RS00390","WP_202097599.1",939,"DEAD/DEAH box helicase family protein"
"chromosome","NZ_CP058277.1",94826,95923,"-",,,"HXW97_RS00395","WP_012395843.1",365,"MULTISPECIES: succinyldiaminopimelate transaminase"
"chromosome","NZ_CP058277.1",95953,96279,"-",,,"HXW97_RS00400","WP_012395844.1",108,"MULTISPECIES: ferredoxin family protein"
"chromosome","NZ_CP058277.1",96493,97059,"+",,,"HXW97_RS00405","WP_020726286.1",188,"PadR family transcriptional regulator"
"chromosome","NZ_CP058277.1",97059,99083,"+",,,"HXW97_RS00410","WP_020726287.1",674,"NADPH-dependent 2,4-dienoyl-CoA reductase"
"chromosome","NZ_CP058277.1",99295,99627,"+",,,"HXW97_RS00415","WP_012395847.1",110,"MULTISPECIES: hemophore-related protein"
"chromosome","NZ_CP058277.1",99837,102608,"-",,,"HXW97_RS00420","WP_202097600.1",923,"cellulose binding domain-containing protein"
"chromosome","NZ_CP058277.1",103180,105750,"-",,,"HXW97_RS00425","WP_202097601.1",856,"bifunctional FO biosynthesis protein CofGH"
"chromosome","NZ_CP058277.1",105955,106818,"+",,,"HXW97_RS00430","WP_202097602.1",287,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",106848,107279,"-",,,"HXW97_RS00435","WP_036426345.1",143,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",107418,108323,"-",,"mshB","HXW97_RS00440","WP_202097603.1",301,"N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase"
"chromosome","NZ_CP058277.1",108497,109120,"+",,,"HXW97_RS00445","WP_012395853.1",207,"TetR/AcrR family transcriptional regulator"
"chromosome","NZ_CP058277.1",109149,110279,"-",,,"HXW97_RS00450","WP_202097604.1",376,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",110467,112668,"-",,,"HXW97_RS00455","WP_202097605.1",733,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",112879,114786,"-",,,"HXW97_RS00460","WP_012395855.1",635,"MULTISPECIES: ABC transporter family substrate-binding protein"
"chromosome","NZ_CP058277.1",114884,116770,"-",,"typA","HXW97_RS00465","WP_202097606.1",628,"translational GTPase TypA"
"chromosome","NZ_CP058277.1",117022,117444,"-",,,"HXW97_RS00470","WP_202098321.1",140,"NUDIX domain-containing protein"
"chromosome","NZ_CP058277.1",117698,117982,"+",,,"HXW97_RS00475","WP_202097607.1",94,"4a-hydroxytetrahydrobiopterin dehydratase"
"chromosome","NZ_CP058277.1",118008,119276,"-",,,"HXW97_RS00480","WP_012395859.1",422,"mannosyltransferase"
"chromosome","NZ_CP058277.1",119418,120044,"+",,,"HXW97_RS00485","WP_015356842.1",208,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",120094,121305,"+",,,"HXW97_RS00490","WP_202097608.1",403,"hypothetical protein"
"chromosome","NZ_CP058277.1",121337,121483,"-",,,"HXW97_RS00495","WP_003875447.1",48,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",121508,122086,"-",,,"HXW97_RS00500","WP_012395862.1",192,"(Fe-S)-cluster assembly protein"
"chromosome","NZ_CP058277.1",122160,122348,"-",,,"HXW97_RS00505","WP_011739232.1",62,"MULTISPECIES: DUF5302 domain-containing protein"
"chromosome","NZ_CP058277.1",122371,122814,"-",,,"HXW97_RS00510","WP_012395863.1",147,"PPOX class F420-dependent oxidoreductase"
"chromosome","NZ_CP058277.1",122871,123386,"+",,,"HXW97_RS00515","WP_202097609.1",171,"DUF1697 domain-containing protein"
"chromosome","NZ_CP058277.1",123401,124237,"+",,,"HXW97_RS00520","WP_012395865.1",278,"class I SAM-dependent methyltransferase"
"chromosome","NZ_CP058277.1",124247,124612,"-",,,"HXW97_RS00525","WP_012395866.1",121,"MULTISPECIES: GntR family transcriptional regulator"
"chromosome","NZ_CP058277.1",124671,125387,"+",,,"HXW97_RS00530","WP_012395867.1",238,"NAD-dependent deacylase"
"chromosome","NZ_CP058277.1",125495,126133,"-",,,"HXW97_RS00535","WP_011739227.1",212,"MULTISPECIES: class I SAM-dependent methyltransferase"
"chromosome","NZ_CP058277.1",126130,126822,"-",,,"HXW97_RS00540","WP_020726301.1",230,"MULTISPECIES: TetR/AcrR family transcriptional regulator"
"chromosome","NZ_CP058277.1",126830,129172,"-",,,"HXW97_RS00545","WP_202097610.1",780,"MMPL family transporter"
"chromosome","NZ_CP058277.1",129530,129685,"+",,,"HXW97_RS00550","WP_011739224.1",51,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",129822,130583,"-",,,"HXW97_RS00555","WP_202097611.1",253,"SDR family NAD(P)-dependent oxidoreductase"
"chromosome","NZ_CP058277.1",130641,131738,"-",,,"HXW97_RS00560","WP_202097612.1",365,"CoA transferase"
"chromosome","NZ_CP058277.1",131892,132695,"+",,,"HXW97_RS00565","WP_202097613.1",267,"enoyl-CoA hydratase/isomerase family protein"
"chromosome","NZ_CP058277.1",132768,134159,"+",,,"HXW97_RS00570","WP_202097614.1",463,"NAD(P)H-binding protein"
"chromosome","NZ_CP058277.1",134165,134884,"-",,,"HXW97_RS00575","WP_015356855.1",239,"MULTISPECIES: CPBP family intramembrane metalloprotease"
"chromosome","NZ_CP058277.1",134881,136029,"-",,,"HXW97_RS00580","WP_202097615.1",382,"NAD(P)H-binding protein"
"chromosome","NZ_CP058277.1",136224,137264,"+",,,"HXW97_RS00585","WP_202098322.1",346,"type III polyketide synthase"
"chromosome","NZ_CP058277.1",137258,137767,"+",,,"HXW97_RS00590","WP_012395877.1",169,"isoprenylcysteine carboxyl methyltransferase family protein"
"chromosome","NZ_CP058277.1",137764,138780,"+",,,"HXW97_RS00595","WP_012395878.1",338,"FAD-dependent monooxygenase"
"chromosome","NZ_CP058277.1",138904,144828,"-",,,"HXW97_RS00600","WP_202097616.1",1974,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",145256,146059,"-",,,"HXW97_RS00605","WP_012395880.1",267,"crotonase/enoyl-CoA hydratase family protein"
"chromosome","NZ_CP058277.1",146056,147204,"-",,,"HXW97_RS00610","WP_012395881.1",382,"thiolase family protein"
"chromosome","NZ_CP058277.1",147744,149609,"+",,,"HXW97_RS00615","WP_012395882.1",621,"PPE family protein"
"chromosome","NZ_CP058277.1",150076,153396,"+",,,"HXW97_RS00620","WP_202097617.1",1106,"PPE domain-containing protein"
"chromosome","NZ_CP058277.1",153461,155260,"-",,,"HXW97_RS00625","WP_181013106.1",599,"PE-PPE domain-containing protein"
"chromosome","NZ_CP058277.1",155726,157174,"-",,,"HXW97_RS00630","WP_036451074.1",482,"MULTISPECIES: aldehyde dehydrogenase family protein"
"chromosome","NZ_CP058277.1",157808,158650,"-",,,"HXW97_RS00635","WP_202097618.1",280,"transposase"
"chromosome","NZ_CP058277.1",160027,161196,"-",,,"HXW97_RS00645","WP_012395888.1",389,"MULTISPECIES: PPE family protein"
"chromosome","NZ_CP058277.1",161716,162990,"+",,,"HXW97_RS00650","WP_202097619.1",424,"TetR family transcriptional regulator"
"chromosome","NZ_CP058277.1",163095,163937,"+",,,"HXW97_RS00655","WP_012395890.1",280,"SDR family oxidoreductase"
"chromosome","NZ_CP058277.1",163954,164604,"+",,,"HXW97_RS00660","WP_012395891.1",216,"MULTISPECIES: SDR family oxidoreductase"
"chromosome","NZ_CP058277.1",165021,167312,"+",,"metE","HXW97_RS00665","WP_020726322.1",763,"5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase"
"chromosome","NZ_CP058277.1",167390,169111,"-",,,"HXW97_RS00670","WP_011738522.1",573,"MULTISPECIES: DUF3556 domain-containing protein"
"chromosome","NZ_CP058277.1",169183,169692,"-",,,"HXW97_RS00675","WP_012395894.1",169,"MULTISPECIES: DoxX family protein"
"chromosome","NZ_CP058277.1",169844,171430,"+",,,"HXW97_RS00680","WP_202098323.1",528,"pyruvate, phosphate dikinase"
"chromosome","NZ_CP058277.1",171427,172032,"+",,,"HXW97_RS00685","WP_012395896.1",201,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",172039,173280,"-",,,"HXW97_RS00690","WP_020786265.1",413,"MULTISPECIES: DUF1298 domain-containing protein"
"chromosome","NZ_CP058277.1",173285,174190,"-",,,"HXW97_RS00695","WP_020726326.1",301,"alpha/beta fold hydrolase"
"chromosome","NZ_CP058277.1",174744,175331,"+",,,"HXW97_RS00700","WP_012395899.1",195,"MULTISPECIES: TetR/AcrR family transcriptional regulator"
"chromosome","NZ_CP058277.1",175334,175810,"-",,,"HXW97_RS00705","WP_012395900.1",158,"MULTISPECIES: VOC family protein"
"chromosome","NZ_CP058277.1",175937,176812,"+",,,"HXW97_RS00710","WP_012395901.1",291,"alpha/beta hydrolase"
"chromosome","NZ_CP058277.1",176809,177831,"-",,"gnd","HXW97_RS00715","WP_012395902.1",340,"MULTISPECIES: decarboxylating 6-phosphogluconate dehydrogenase"
"chromosome","NZ_CP058277.1",177846,179255,"-",,,"HXW97_RS00720","WP_020726327.1",469,"glucose-6-phosphate dehydrogenase"
"chromosome","NZ_CP058277.1",179401,180234,"+",,,"HXW97_RS00725","WP_015356882.1",277,"MULTISPECIES: adenylate/guanylate cyclase domain-containing protein"
"chromosome","NZ_CP058277.1",180231,180395,"-",,,"HXW97_RS00730","WP_015356883.1",54,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",180428,181129,"+",,,"HXW97_RS00735","WP_012395906.1",233,"MULTISPECIES: guanylate cyclase"
"chromosome","NZ_CP058277.1",181226,181555,"-",,,"HXW97_RS00740","WP_012395907.1",109,"MULTISPECIES: antibiotic biosynthesis monooxygenase"
"chromosome","NZ_CP058277.1",181631,182149,"-",,,"HXW97_RS00745","WP_012395908.1",172,"OsmC family protein"
"chromosome","NZ_CP058277.1",183396,184388,"-",,,"HXW97_RS00755","WP_202097620.1",330,"PPE domain-containing protein"
"chromosome","NZ_CP058277.1",184796,186175,"+",,,"HXW97_RS00760","WP_020726331.1",459,"PPE domain-containing protein"
"chromosome","NZ_CP058277.1",186172,186516,"+",,,"HXW97_RS00765","WP_020729825.1",114,"MULTISPECIES: YbaB/EbfC family nucleoid-associated protein"
"chromosome","NZ_CP058277.1",186593,186907,"+",,,"HXW97_RS00770","WP_012395913.1",104,"MULTISPECIES: ESX-1 secretion-associated protein"
"chromosome","NZ_CP058277.1",187026,187625,"+",,,"HXW97_RS00775","WP_012395914.1",199,"hypothetical protein"
"chromosome","NZ_CP058277.1",187600,189630,"+",,,"HXW97_RS00780","WP_202097621.1",676,"secretion protein EspK"
"chromosome","NZ_CP058277.1",189646,190428,"-",,,"HXW97_RS00785","WP_202097622.1",260,"hypothetical protein"
"chromosome","NZ_CP058277.1",190883,191983,"-",,"ychF","HXW97_RS00790","WP_012395917.1",366,"redox-regulated ATPase YchF"
"chromosome","NZ_CP058277.1",192116,193333,"+",,,"HXW97_RS00795","WP_012395918.1",405,"hypothetical protein"
"chromosome","NZ_CP058277.1",193355,194353,"-",,,"HXW97_RS00800","WP_036456486.1",332,"MULTISPECIES: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"chromosome","NZ_CP058277.1",194463,195080,"+",,,"HXW97_RS00805","WP_011738548.1",205,"MULTISPECIES: lipid droplet-associated protein"
"chromosome","NZ_CP058277.1",195077,196324,"+",,,"HXW97_RS00810","WP_202097623.1",415,"exodeoxyribonuclease VII large subunit"
"chromosome","NZ_CP058277.1",196314,196562,"+",,,"HXW97_RS00815","WP_012395921.1",82,"MULTISPECIES: exodeoxyribonuclease VII small subunit"
"chromosome","NZ_CP058277.1",196617,197711,"+",,,"HXW97_RS00820","WP_012395922.1",364,"MULTISPECIES: NAD-dependent epimerase/dehydratase family protein"
"chromosome","NZ_CP058277.1",197892,198149,"+",,,"HXW97_RS00825","WP_015356899.1",85,"MULTISPECIES: Rho termination factor N-terminal domain-containing protein"
"chromosome","NZ_CP058277.1",198244,198645,"-",,,"HXW97_RS00830","WP_012395924.1",133,"MULTISPECIES: hemophore-related protein"
"chromosome","NZ_CP058277.1",199336,200901,"+",,,"HXW97_RS00835","WP_202097624.1",521,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",201170,202738,"-",,,"HXW97_RS00840","WP_202098324.1",522,"carboxylesterase family protein"
"chromosome","NZ_CP058277.1",202948,204105,"+",,,"HXW97_RS00845","WP_012395927.1",385,"AI-2E family transporter"
"chromosome","NZ_CP058277.1",204083,204883,"-",,,"HXW97_RS00850","WP_202097625.1",266,"dienelactone hydrolase family protein"
"chromosome","NZ_CP058277.1",204911,205558,"-",,,"HXW97_RS00855","WP_012395929.1",215,"MULTISPECIES: DUF4245 domain-containing protein"
"chromosome","NZ_CP058277.1",205627,206715,"+",,"glpX","HXW97_RS00860","WP_012395930.1",362,"MULTISPECIES: class II fructose-bisphosphatase"
"chromosome","NZ_CP058277.1",206753,208183,"+",,,"HXW97_RS00865","WP_012395931.1",476,"class II fumarate hydratase"
"chromosome","NZ_CP058277.1",208280,209260,"+",,,"HXW97_RS00870","WP_202097626.1",326,"hypothetical protein"
"chromosome","NZ_CP058277.1",209290,210738,"-",,,"HXW97_RS00875","WP_202098325.1",482,"HAMP domain-containing protein"
"chromosome","NZ_CP058277.1",210791,211666,"-",,,"HXW97_RS00880","WP_015356908.1",291,"MULTISPECIES: polysaccharide deacetylase family protein"
"chromosome","NZ_CP058277.1",211738,213039,"-",,,"HXW97_RS00885","WP_012395935.1",433,"MULTISPECIES: PhoH family protein"
"chromosome","NZ_CP058277.1",213354,214181,"-",,,"HXW97_RS00890","WP_011738563.1",275,"MULTISPECIES: acyl-ACP desaturase"
"chromosome","NZ_CP058277.1",214238,215518,"-",,,"HXW97_RS00895","WP_012395937.1",426,"serine hydroxymethyltransferase"
"chromosome","NZ_CP058277.1",215680,216618,"+",,,"HXW97_RS00900","WP_011738565.1",312,"MULTISPECIES: type I pantothenate kinase"
"chromosome","NZ_CP058277.1",216669,218198,"-",,,"HXW97_RS00905","WP_202097627.1",509,"PE domain-containing protein"
"chromosome","NZ_CP058277.1",218404,218817,"-",,,"HXW97_RS00910","WP_015356912.1",137,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",219007,220377,"-",,,"HXW97_RS00915","WP_202097628.1",456,"hypothetical protein"
"chromosome","NZ_CP058277.1",220616,221404,"-",,,"HXW97_RS00920","WP_012395941.1",262,"MULTISPECIES: isoprenyl transferase"
"chromosome","NZ_CP058277.1",221551,222291,"+",,,"HXW97_RS00925","WP_012395942.1",246,"MULTISPECIES: hemolysin III family protein"
"chromosome","NZ_CP058277.1",222316,222699,"-",,,"HXW97_RS00930","WP_011738571.1",127,"MULTISPECIES: nuclear transport factor 2 family protein"
"chromosome","NZ_CP058277.1",224516,224815,"-",,,"HXW97_RS00940","WP_011738573.1",99,"MULTISPECIES: hypothetical protein"
"chromosome","NZ_CP058277.1",224812,225684,"-",,"mca","HXW97_RS00945","WP_012395944.1",290,"MULTISPECIES: mycothiol conjugate amidase Mca"
"chromosome","NZ_CP058277.1",225826,226260,"+",,,"HXW97_RS00950","WP_012395945.1",144,"MULTISPECIES: DUF4307 domain-containing protein"
"chromosome","NZ_CP058277.1",226492,226986,"+",,"greA","HXW97_RS00955","WP_011738576.1",164,"MULTISPECIES: transcription elongation factor GreA"
"chromosome","NZ_CP058277.1",227069,228235,"-",,,"HXW97_RS00960","WP_020726350.1",388,"cystathionine gamma-synthase"
"chromosome","NZ_CP058277.1",228335,229135,"-",,,"HXW97_RS00965","WP_202097629.1",266,"RDD family protein"
"chromosome","NZ_CP058277.1",229331,230725,"-",,,"HXW97_RS00970","WP_012395948.1",464,"cystathionine beta-synthase"
"chromosome","NZ_CP058277.1",230784,231851,"-",,,"HXW97_RS00975","WP_036450461.1",355,"alpha/beta hydrolase"
"chromosome","NZ_CP058277.1",232097,233056,"+",,,"HXW97_RS00980","WP_012395950.1",319,"MULTISPECIES: SGNH/GDSL hydrolase family protein"
"chromosome","NZ_CP058277.1",233149,234366,"+",,,"HXW97_RS00985","WP_015356919.1",405,"MULTISPECIES: acetyl-CoA C-acetyltransferase"
"chromosome","NZ_CP058277.1",234545,235387,"-",,,"HXW97_RS00990","WP_012395952.1",280,"MULTISPECIES: Bax inhibitor-1/YccA family protein"
"chromosome","NZ_CP058277.1",235635,236672,"+",,,"HXW97_RS00995","WP_202098326.1",345,"enoyl-CoA hydratase/isomerase family protein"
"chromosome","NZ_CP058277.1",236684,237457,"+",,,"HXW97_RS01000","WP_011738585.1",257,"MULTISPECIES: enoyl-CoA hydratase"
"chromosome","NZ_CP058277.1",237469,239214,"+",,,"HXW97_RS01005","WP_012395954.1",581,"alpha/beta-hydrolase family protein"
"chromosome","NZ_CP058277.1",239466,242189,"+",,,"HXW97_RS01010","WP_202097630.1",907,"PE domain-containing protein"
