NP_214517.1	WP_066345481.1
NP_215411.1	WP_019044942.1
NP_215418.1	WP_019044947.1
NP_215418.1	WP_019044793.1
NP_215418.1	WP_019045310.1
NP_215418.1	WP_019045527.1
NP_215418.1	WP_019044859.1
NP_215420.1	WP_019044958.1
NP_215421.1	WP_019044959.1
NP_215429.1	WP_019044764.1
NP_215445.2	WP_019044863.1
NP_215446.1	WP_019045137.1
NP_215448.1	WP_019044864.1
NP_215455.1	WP_019044763.1
NP_215460.1	WP_019045231.1
NP_215465.1	WP_019045002.1
NP_215484.3	WP_019044373.1
NP_215496.2	WP_019044793.1
NP_215496.2	WP_019044947.1
NP_215496.2	WP_019045310.1
NP_214587.1	NP_459805.1
NP_214627.1	NP_459308.1
NP_214631.1	NP_459254.1
NP_214631.1	NP_459120.1
NP_214736.1	NP_459075.1
NP_214752.1	NP_459797.1
NP_214864.1	NP_459017.1
NP_215026.1	NP_459367.1
NP_215038.1	NP_459207.1
NP_215080.1	NP_459430.3
NP_215100.1	NP_459156.1
NP_215127.1	NP_459141.1
NP_215201.1	NP_459500.1
NP_215289.1	NP_459797.1
NP_215299.1	NP_459082.1
NP_215299.1	NP_459704.1
NP_215307.1	NP_459768.1
NP_215379.1	NP_459782.1
NP_215386.1	NP_459621.1
NP_215405.1	NP_459544.1
NP_215411.1	NP_459715.1
NP_215435.1	NP_448275.1
NP_215466.1	NP_459723.1
NP_215467.1	NP_459724.1
NP_215484.3	NP_459348.1
NP_215484.3	NP_459493.1
NP_215488.1	NP_459060.1
NP_215496.2	NP_459687.1
NP_215501.1	NP_459502.1
NP_215501.1	NP_459805.1
NP_214515.1	WP_000660618.1
NP_214519.2	WP_000134037.1
NP_214519.2	WP_000037277.1
NP_214523.1	WP_000339014.1
NP_214547.1	WP_000257841.1
NP_214555.1	WP_000011759.1
NP_214583.1	WP_000500040.1
NP_214584.1	WP_000575521.1
NP_214703.1	WP_000137351.1
NP_214851.1	WP_000666472.1
NP_214853.1	WP_000698434.1
NP_214864.1	WP_000034662.1
NP_214867.1	WP_000274794.1
NP_214871.1	WP_000205044.1
NP_214900.1	WP_000698434.1
NP_214922.1	WP_000451584.1
NP_214923.1	WP_000167767.1
NP_214954.1	WP_000031573.1
NP_215005.1	WP_000166475.1
NP_215005.1	WP_000722076.1
NP_215172.1	WP_000394030.1
NP_215182.1	WP_000228766.1
NP_215197.1	WP_000087873.1
NP_215215.1	WP_000160197.1
NP_215218.1	WP_000512911.1
NP_215219.1	WP_000533766.1
NP_215221.1	WP_000529936.1
NP_215224.1	WP_000440801.1
NP_215228.1	WP_000616545.1
NP_215229.1	WP_000497691.1
NP_215230.1	WP_000013542.1
NP_215232.1	WP_000245505.1
NP_215233.1	WP_000086630.1
NP_215234.1	WP_000624044.1
NP_215271.1	WP_000590640.1
NP_215323.1	WP_000220612.1
NP_215324.1	WP_000182582.1
NP_215335.1	WP_000536449.1
NP_215335.1	WP_000128639.1
NP_215335.1	WP_000109217.1
NP_215405.1	WP_000698434.1
NP_215418.1	WP_000722076.1
NP_215418.1	WP_000166475.1
NP_215448.1	WP_000536449.1
NP_215448.1	WP_000128639.1
NP_215448.1	WP_000109217.1
NP_215472.1	WP_000167074.1
NP_215484.3	WP_000136316.1
NP_215484.3	WP_000593574.1
NP_215496.2	WP_000166475.1
NP_215498.1	WP_000681601.1
NP_215501.1	WP_000323365.1
NP_215508.1	WP_000643970.1
NP_214515.1	WP_005161100.1
NP_214583.1	WP_011816009.1
NP_214584.1	WP_005159491.1
NP_214587.1	WP_005168188.1
NP_214596.2	WP_002210278.1
NP_214627.1	WP_005167499.1
NP_214671.1	WP_005169667.1
NP_214767.1	WP_005159717.1
NP_214796.1	WP_005163065.1
NP_214816.1	WP_005158153.1
NP_214835.1	WP_005162354.1
NP_214871.1	WP_005175500.1
NP_214877.1	WP_005173534.1
NP_214878.1	WP_005171830.1
NP_214898.1	WP_019077723.1
NP_214898.1	WP_005162786.1
NP_214923.1	WP_005171756.1
NP_215080.1	WP_005163537.1
NP_215100.1	WP_004389026.1
NP_215100.1	WP_005174195.1
NP_215127.1	WP_005167086.1
NP_215153.1	WP_002210671.1
NP_215154.1	WP_005165805.1
NP_215155.1	WP_005165803.1
NP_215166.1	WP_004876762.1
NP_215181.1	WP_005175701.1
NP_215181.1	WP_005175701.1
NP_215196.1	WP_002212323.1
NP_215197.1	WP_002212324.1
NP_215199.1	WP_005165809.1
NP_215199.1	WP_004391430.1
NP_215214.1	WP_001181005.1
NP_215215.1	WP_004709250.1
NP_215216.1	WP_005174626.1
NP_215218.1	WP_004709246.1
NP_215219.1	WP_002213430.1
NP_215220.1	WP_004391423.1
NP_215221.1	WP_002221644.1
NP_215222.1	WP_002218940.1
NP_215223.1	WP_005159843.1
NP_215224.1	WP_002228135.1
NP_215228.1	WP_002213325.1
NP_215229.1	WP_004391420.1
NP_215230.1	WP_005159856.1
NP_215232.1	WP_005159858.1
NP_215233.1	WP_005159860.1
NP_215234.1	WP_004391413.1
NP_215235.1	WP_002213337.1
NP_215236.1	WP_002213339.1
NP_215246.1	WP_002213344.1
NP_215335.1	WP_004713904.1
NP_215379.1	WP_005168086.1
NP_215386.1	WP_005163087.1
NP_215386.1	WP_005159934.1
NP_215386.1	WP_004716300.1
NP_215386.1	WP_005163090.1
NP_215386.1	WP_002221949.1
NP_215386.1	WP_002210893.1
NP_215386.1	WP_002212220.1
NP_215448.1	WP_004713904.1
NP_215465.1	WP_005169193.1
NP_215466.1	WP_005165485.1
NP_215467.1	WP_005165487.1
NP_215488.1	WP_004392390.1
NP_215501.1	WP_005164408.1
NP_215501.1	WP_004391337.1
NP_215501.1	WP_005168188.1
NP_215506.1	WP_005178745.1
