Mycobacterium_tuberculosis_H37Rv.txt	B_bronchialis_5000.txt	C_diphtheriae_5000.txt	E_coli_5000.txt	N_asteroides_5000.txt	S_enterica_5000.txt	S_pneumoniae_5000.txt	Y_enterocolitica_5000.txt
NP_214805.1	0	0	0	WP_019045103.1,WP_019045127.1	0	0	0
NP_214816.1	0	0	0	WP_019045424.1	0	0	WP_005158153.1
NP_214835.1	0	WP_014304001.1	0	0	0	0	WP_005162354.1
NP_214838.1	0	WP_014310701.1	0	0	0	0	0
NP_214842.1	0	0	NP_415317.4	0	0	0	0
NP_214848.1	0	0	0	WP_019044443.1	0	0	0
NP_214851.1	0	0	0	0	0	WP_000666472.1	0
NP_214853.1	0	0	0	WP_019044665.1	0	WP_000698434.1	0
NP_214864.1	WP_066345490.1	0	NP_414555.1	0	NP_459017.1	WP_000034662.1	0
NP_214865.1	0	WP_010935590.1	0	0	0	0	0
NP_214867.1	0	WP_014303972.1	0	0	0	WP_000274794.1	0
NP_214871.1	WP_066347278.1	WP_014303923.1	0	0	0	WP_000205044.1	WP_005175500.1
NP_214874.1	0	WP_004567033.1	0	0	0	0	0
NP_214877.1	0	0	0	0	0	0	WP_005173534.1
NP_214878.1	0	0	0	0	0	0	WP_005171830.1
NP_214888.1	WP_066342695.1	0	0	0	0	0	0
NP_214894.1	0	WP_014309627.1	0	0	0	0	0
NP_214898.1	WP_066347042.1	0	NP_415403.1	WP_019044654.1	0	0	WP_005162786.1,WP_019077723.1
NP_214900.1	WP_066344373.1	WP_004567424.1	0	WP_019044665.1,WP_019045532.1	0	WP_000698434.1	0
NP_214906.1	0	WP_014303393.1	0	0	0	0	0
NP_214914.1	WP_066345189.1	0	0	0	0	0	0
NP_214922.1	0	0	0	0	0	WP_000451584.1	0
NP_214923.1	0	WP_003853004.1	0	0	0	WP_000167767.1	WP_005171756.1
NP_214930.1	0	WP_014302657.1	0	0	0	0	0
NP_214943.1	0	WP_003852985.1,WP_014301951.1	0	0	0	0	0
NP_214944.1	0	WP_003852983.1	0	0	0	0	0
NP_214946.1	0	WP_003853202.1	0	0	0	0	0
NP_214947.1	0	WP_014311565.1	0	0	0	0	0
NP_214953.1	0	0	0	WP_019044894.1,WP_019045552.1	0	0	0
NP_214954.1	WP_066344151.1	0	0	WP_019045170.1	0	WP_000031573.1	0
NP_214959.1	0	0	0	WP_019045172.1	0	0	0
NP_214976.1	0	WP_004566447.1	0	0	0	0	0
NP_214979.1	WP_066345158.1	WP_004566448.1	0	0	0	0	0
NP_214987.2	0	WP_014302861.1	0	0	0	0	0
NP_214988.1	WP_066344267.1	0	0	0	0	0	0
NP_214990.1	0	WP_014302862.1	0	0	0	0	0
NP_214992.1	0	WP_014302786.1	0	0	0	0	0
NP_214998.1	0	WP_003850105.1	0	0	0	0	0
NP_214999.1	0	0	0	WP_019044504.1	0	0	0
NP_215005.1	WP_066345219.1,WP_066346443.1,WP_066347400.1,WP_066348943.1	0	0	WP_019044947.1,WP_019045310.1,WP_019045527.1	0	WP_000166475.1,WP_000722076.1	0
NP_215006.2	0	0	NP_414845.1	0	0	0	0
NP_215008.2	WP_066344116.1,WP_066346799.1	0	0	0	0	0	0
NP_215010.3	0	WP_014307915.1	0	0	0	0	0
NP_215022.1	0	WP_014301360.1	0	0	0	0	0
NP_215023.1	0	WP_010934271.1	0	0	0	0	0
NP_215024.1	0	WP_010934272.1	0	0	0	0	0
NP_215025.2	0	WP_014302060.1	0	0	0	0	0
NP_215026.1	0	0	NP_414903.4	0	NP_459367.1	0	0
NP_215038.1	0	0	NP_414696.1	0	NP_459207.1	0	0
NP_215039.1	0	WP_004566627.1	0	0	0	0	0
NP_215040.1	0	WP_003853288.1	0	0	0	0	0
NP_215047.1	0	0	0	WP_019045518.1	0	0	0
NP_215049.1	0	0	0	WP_019045121.1	0	0	0
NP_215056.1	0	WP_004566641.1	0	0	0	0	0
NP_215068.1	0	0	0	WP_019045596.1	0	0	0
NP_215070.1	0	WP_004566647.1	0	0	0	0	0
NP_215075.1	0	WP_014301384.1	0	0	0	0	0
NP_215076.1	0	WP_004566654.1	0	0	0	0	0
NP_215078.1	0	WP_010934824.1	0	0	0	0	0
NP_215079.1	0	0	0	WP_019045474.1,WP_019045542.1	0	0	0
NP_215080.1	WP_066343515.1	0	NP_414960.2	0	NP_459430.3	0	WP_005163537.1
NP_215087.1	0	0	0	WP_019045436.1	0	0	0
NP_215090.1	0	0	0	WP_019045595.1	0	0	0
NP_215096.1	0	0	0	WP_019045027.1	0	0	0
NP_215100.1	WP_066343250.1,WP_066343438.1	0	NP_414655.1	0	NP_459156.1	0	WP_004389026.1,WP_005174195.1
NP_215101.1	0	0	0	WP_019044782.1,WP_019045462.1	0	0	0
NP_215110.1	0	0	0	WP_019044533.1	0	0	0
NP_215114.2	0	0	NP_415102.1	WP_019044792.1	0	0	0
NP_215116.1	WP_066342679.1,WP_066347010.1	WP_010935447.1,WP_014308146.1	0	WP_019044793.1,WP_019044947.1,WP_019045310.1	0	0	0
NP_215127.1	0	0	NP_414640.1	0	NP_459141.1	0	WP_005167086.1
NP_215150.1	0	0	0	WP_019045581.1	0	0	0
NP_215153.1	0	WP_004566657.1	0	0	0	0	WP_002210671.1
NP_215154.1	0	WP_004566658.1	0	0	0	0	WP_005165805.1
NP_215155.1	0	WP_004566660.1	0	0	0	0	WP_005165803.1
NP_215165.1	0	WP_004566661.1	0	0	0	0	0
NP_215166.1	0	WP_004566663.1	0	0	0	0	WP_004876762.1
NP_215171.1	0	0	0	WP_019045262.1	0	0	0
NP_215172.1	0	0	0	0	0	WP_000394030.1	0
NP_215181.1	0	0	0	0	0	0	WP_005175701.1
NP_215182.1	0	0	0	0	0	WP_000228766.1	0
NP_215183.1	0	0	0	WP_019044927.1	0	0	0
NP_215196.1	0	WP_004566706.1	0	0	0	0	WP_002212323.1
NP_215197.1	0	WP_004566708.1	0	0	0	WP_000087873.1	WP_002212324.1
NP_215199.1	0	WP_004566712.1	0	0	0	0	WP_004391430.1,WP_005165809.1
NP_215201.1	0	0	0	0	NP_459500.1	0	0
NP_215205.1	0	0	0	WP_019044670.1,WP_019045315.1	0	0	0
NP_215214.1	0	WP_003848085.1	0	WP_003938093.1	0	0	WP_001181005.1
NP_215215.1	0	WP_004566722.1	0	WP_019045016.1	0	WP_000160197.1	WP_004709250.1
NP_215216.1	0	WP_010934329.1	0	WP_019045017.1	0	0	WP_005174626.1
NP_215217.1	0	WP_004566725.1	0	WP_019045018.1	0	0	0
NP_215218.1	0	0	0	WP_019045019.1	0	WP_000512911.1	WP_004709246.1
NP_215219.1	0	WP_004566728.1	0	WP_019045020.1	0	WP_000533766.1	WP_002213430.1
NP_215220.1	0	WP_004566729.1	0	WP_019045021.1	0	0	WP_004391423.1
NP_215221.1	0	WP_004566730.1	0	WP_019045022.1	0	WP_000529936.1	WP_002221644.1
NP_215222.1	0	WP_004566732.1	0	WP_019045023.1	0	0	WP_002218940.1
NP_215223.1	0	WP_004566751.1	0	WP_019045024.1	0	0	WP_005159843.1
NP_215224.1	0	WP_004566753.1	0	WP_019045025.1	0	WP_000440801.1	WP_002228135.1
NP_215228.1	0	WP_004566763.1	0	WP_019045060.1	0	WP_000616545.1	WP_002213325.1
NP_215229.1	0	WP_004566765.1	0	WP_019045061.1	0	WP_000497691.1	WP_004391420.1
NP_215230.1	0	WP_004566766.1,WP_014303592.1	0	WP_019045062.1	0	WP_000013542.1	WP_005159856.1
NP_215232.1	0	WP_014301438.1	0	WP_014981717.1	0	WP_000245505.1	WP_005159858.1
NP_215233.1	0	WP_004566822.1	0	WP_019045067.1	0	WP_000086630.1	WP_005159860.1
NP_215234.1	0	WP_014301439.1	0	0	0	WP_000624044.1	WP_004391413.1
NP_215235.1	0	WP_004566825.1	0	WP_019045069.1	0	0	WP_002213337.1
NP_215236.1	0	WP_004566826.1	0	WP_019045070.1	0	0	WP_002213339.1
NP_215237.1	0	WP_004566828.1	0	WP_019045071.1	0	0	0
NP_215246.1	0	WP_010934368.1	0	0	0	0	WP_002213344.1
NP_215247.1	0	0	0	WP_019045073.1	0	0	0
NP_215249.1	0	0	0	WP_019044906.1	0	0	0
NP_215267.1	WP_066346754.1	0	0	0	0	0	0
NP_215271.1	WP_066342679.1	WP_010935447.1,WP_014308146.1	0	WP_019044793.1,WP_019044947.1	0	WP_000590640.1	0
NP_215272.1	0	WP_014303829.1	0	WP_019044792.1	0	0	0
NP_215273.3	0	WP_010935444.1	0	WP_019044801.1	0	0	0
NP_215283.1	WP_066344846.1	0	0	0	0	0	0
NP_215286.1	0	0	0	WP_019044804.1	0	0	0
NP_215287.1	WP_066343403.1	0	0	0	0	0	0
NP_215289.1	0	0	0	WP_019044395.1,WP_019045255.1	NP_459797.1	0	0
NP_215294.1	WP_066345133.1	0	0	0	0	0	0
NP_215298.1	0	0	0	WP_019044815.1	0	0	0
NP_215299.1	WP_066344237.1	0	NP_414585.1	0	NP_459082.1,NP_459704.1	0	0
NP_215300.2	0	0	0	WP_019044820.1	0	0	0
NP_215303.1	0	0	0	WP_019044822.1	0	0	0
NP_215307.1	WP_066344116.1	0	0	0	NP_459768.1	0	0
NP_215316.1	0	0	0	WP_019045047.1	0	0	0
NP_215318.1	0	0	0	WP_019044827.1	0	0	0
NP_215322.1	0	WP_014302308.1	0	0	0	0	0
NP_215323.1	0	0	0	WP_019044836.1	0	WP_000220612.1	0
NP_215324.1	0	WP_014310775.1	0	WP_019044841.1	0	WP_000182582.1	0
NP_215325.1	0	WP_003852791.1	0	WP_019044842.1	0	0	0
NP_215328.1	0	WP_014302302.1	0	0	0	0	0
NP_215330.1	0	WP_010934451.1	0	WP_019044855.1	0	0	0
NP_215331.1	0	0	0	WP_019044857.1	0	0	0
NP_215333.1	0	0	0	WP_019044859.1	0	0	0
NP_215334.1	0	0	0	WP_019044860.1	0	0	0
NP_215335.1	WP_066345646.1	0	0	WP_019044864.1	0	WP_000109217.1,WP_000128639.1,WP_000536449.1	WP_004713904.1
NP_215336.1	0	WP_010935421.1	0	WP_019044865.1	0	0	0
NP_215337.1	0	0	0	WP_019044867.1	0	0	0
NP_215342.1	0	0	0	WP_019045595.1	0	0	0
NP_215343.1	WP_066348389.1	0	0	0	0	0	0
NP_215359.1	WP_066344373.1	0	0	0	0	0	0
NP_215373.1	0	0	0	WP_019044908.1	0	0	0
NP_215374.1	0	WP_014307438.1	0	WP_019044514.1	0	0	0
NP_215375.1	0	0	0	WP_019044515.1	0	0	0
NP_215376.3	0	WP_010934543.1	0	WP_019044911.1	0	0	0
NP_215377.1	0	0	0	WP_019044916.1	0	0	0
NP_215378.2	0	WP_014301577.1	0	WP_019044917.1	0	0	0
NP_215379.1	0	WP_014310008.1	NP_415304.1	0	NP_459782.1	0	WP_005168086.1
NP_215382.1	0	WP_010934546.1,WP_010935576.1,WP_014306689.1	0	WP_019044918.1	0	0	0
NP_215385.1	0	WP_014306665.1	0	WP_019044930.1	0	0	0
NP_215386.1	WP_006220277.1	WP_003850453.1,WP_003850654.1	NP_415156.1	WP_019044597.1,WP_019044920.1	NP_459621.1	0	WP_002210893.1,WP_002212220.1,WP_002221949.1,WP_004716300.1,WP_005159934.1,WP_005163087.1,WP_005163090.1
NP_215392.1	0	WP_010934549.1	0	0	0	0	0
NP_215395.1	0	0	0	WP_019044929.1	0	0	0
NP_215396.1	0	WP_014306646.1	0	WP_019044931.1,WP_019045204.1	0	0	0
NP_215397.1	0	0	0	WP_019044932.1	0	0	0
NP_215399.1	0	0	0	WP_019044935.1	0	0	0
NP_215405.1	WP_066344373.1	WP_004567424.1,WP_010934320.1	NP_415068.1	WP_019044665.1	NP_459544.1	WP_000698434.1	0
NP_215411.1	0	0	NP_415248.1	WP_019044942.1	NP_459715.1	0	0
NP_215418.1	WP_066342679.1,WP_066346443.1,WP_066347010.1	WP_010935447.1,WP_014308146.1	0	WP_019044793.1,WP_019044859.1,WP_019044947.1,WP_019045310.1,WP_019045527.1	0	WP_000166475.1,WP_000722076.1	0
NP_215420.1	0	0	0	WP_019044958.1	0	0	0
NP_215421.1	0	0	0	WP_019044959.1	0	0	0
NP_215424.1	0	WP_003850040.1	0	0	0	0	0
NP_215426.1	0	WP_014301205.1	0	0	0	0	0
NP_215429.1	0	0	0	WP_019044764.1	0	0	0
NP_215435.1	WP_066348196.1	0	0	0	NP_448275.1	0	0
NP_215445.2	0	0	0	WP_019044863.1	0	0	0
NP_215446.1	0	0	0	WP_019045137.1	0	0	0
NP_215448.1	WP_066345646.1	0	0	WP_019044864.1	0	WP_000109217.1,WP_000128639.1,WP_000536449.1	WP_004713904.1
NP_215455.1	0	0	0	WP_019044763.1	0	0	0
NP_215460.1	0	0	0	WP_019045231.1	0	0	0
NP_215463.1	0	WP_003850709.1	0	0	0	0	0
NP_215465.1	0	0	0	WP_019045002.1	0	0	WP_005169193.1
NP_215466.1	0	0	NP_415256.1	0	NP_459723.1	0	WP_005165485.1
NP_215467.1	WP_066347430.1	0	NP_415257.1	0	NP_459724.1	0	WP_005165487.1
NP_215472.1	WP_066345311.1	0	0	0	0	WP_000167074.1	0
NP_215484.3	0	0	NP_415017.1	WP_019044373.1	NP_459348.1,NP_459493.1	WP_000136316.1,WP_000593574.1	0
NP_215488.1	WP_066342773.1	WP_003850583.1	0	0	NP_459060.1	0	WP_004392390.1
NP_215489.1	WP_066342776.1	0	0	0	0	0	0
NP_215496.2	WP_066342679.1,WP_066345285.1,WP_066346443.1,WP_066347010.1,WP_066347400.1	WP_010935447.1,WP_014308146.1	NP_415103.1,NP_415222.1	WP_019044793.1,WP_019044947.1,WP_019045310.1	NP_459687.1	WP_000166475.1	0
NP_215498.1	0	WP_014308148.1	0	0	0	WP_000681601.1	0
NP_215499.1	0	WP_014306681.1	0	0	0	0	0
NP_215501.1	0	WP_014307231.1	NP_415028.1,NP_415330.1	0	NP_459502.1,NP_459805.1	WP_000323365.1	WP_004391337.1,WP_005164408.1,WP_005168188.1
NP_215504.1	0	WP_004566654.1	0	0	0	0	0
NP_215506.1	0	0	0	0	0	0	WP_005178745.1
NP_215508.1	WP_066345326.1	WP_003850756.1	0	0	0	WP_000643970.1	0
