Mycobacterium_tuberculosis_H37Rv.txt	M_avium_5000.txt	M_leprae_5000.txt	M_marinum_5000.txt	M_smegmatis_5000.txt
NP_214671.1	0	0	WP_012392359.1	WP_003891442.1
NP_214672.1	WP_003874193.1,WP_003876305.1,WP_003879434.1	0	WP_011742251.1	WP_003891452.1
NP_214675.1	0	0	WP_012392367.1	0
NP_214681.1	WP_003873599.1,WP_003874164.1,WP_003875718.1	0	WP_012392389.1	0
NP_214682.1	WP_003872489.1,WP_003874163.1,WP_003875719.1	0	WP_011741592.1,WP_012392390.1	WP_003891465.1
NP_214684.1	WP_003874130.1	0	WP_012392392.1	0
NP_214685.1	0	0	WP_012392393.1	0
NP_214686.1	0	0	WP_012392394.1	0
NP_214687.1	WP_003879093.1	0	0	0
NP_214688.1	WP_003874126.1	0	WP_012392396.1	WP_003891471.1
NP_214690.1	0	0	WP_012392398.1	0
NP_214691.1	WP_003874123.1	0	WP_011739286.1	0
NP_214695.1	0	0	0	WP_003891556.1
NP_214696.1	0	0	0	WP_003892873.1
NP_214697.2	0	0	WP_012392405.1	0
NP_214698.1	0	0	WP_012392406.1	0
NP_214699.1	0	0	WP_012392407.1	0
NP_214701.1	0	WP_010908265.1	0	0
NP_214702.1	WP_003874106.1	0	0	0
NP_214703.1	WP_003874105.1	0	WP_012392410.1	0
NP_214704.1	WP_003874104.1,WP_003874235.1,WP_008257501.1	0	WP_011739296.1,WP_011740966.1	0
NP_214706.1	WP_003874102.1	0	WP_012392302.1,WP_012392412.1	0
NP_214712.1	0	0	WP_012392415.1	0
NP_214713.1	0	0	WP_012392416.1	0
NP_214714.1	0	0	WP_011739302.1	0
NP_214715.1	0	0	WP_012392417.1	0
NP_214716.1	0	0	WP_012392418.1	0
NP_214717.1	WP_003874098.1	0	WP_012392419.1	0
NP_214718.2	0	0	WP_011739306.1	0
NP_214719.1	0	0	WP_012392420.1	WP_003891590.1
NP_214720.1	0	0	WP_012392421.1	0
NP_214721.1	0	0	WP_012392422.1	0
NP_214730.1	0	0	WP_012392431.1	0
NP_214731.1	WP_003879085.1	0	0	0
NP_214733.1	0	0	WP_011739319.1	0
NP_214734.1	WP_003874080.1	0	0	0
NP_214735.1	0	0	WP_012392436.1	0
NP_214736.1	WP_003873545.1,WP_003875706.1,WP_009975457.1	0	WP_012392916.1	0
NP_214737.1	0	0	WP_012392444.1	0
NP_214738.1	0	0	WP_012392445.1	0
NP_214739.1	0	0	WP_012392446.1	0
NP_214741.1	WP_003874069.1	0	WP_012392448.1	0
NP_214744.1	0	0	WP_012392457.1	0
NP_214746.1	0	0	WP_012392459.1	0
NP_214747.1	0	0	0	WP_003891679.1
NP_214749.1	0	0	0	WP_003893142.1
NP_214752.1	WP_003872757.1,WP_003874043.1,WP_003877118.1	0	WP_011741789.1,WP_012392470.1	WP_003891685.1,WP_003892688.1
NP_214755.1	0	WP_010908189.1	WP_012392472.1	0
NP_214756.1	0	0	WP_012392473.1	0
NP_214758.1	WP_003879144.1	0	WP_011739954.1,WP_011741415.1,WP_012392474.1	0
NP_214759.1	WP_003874036.1	0	WP_012392475.1	0
NP_214761.1	0	0	WP_012392478.1	0
NP_214762.1	0	0	WP_012392479.1	0
NP_214763.1	0	0	WP_012392480.1	WP_003891739.1
NP_214764.1	WP_003874031.1	0	WP_012392481.1	WP_003891740.1
NP_214765.1	WP_003874030.1	0	0	WP_003891744.1
NP_214767.1	0	0	WP_012392485.1	0
NP_214772.1	WP_003874027.1	0	WP_011739380.1	0
NP_214774.1	0	0	WP_012392487.1	WP_003891751.1
NP_214775.1	WP_003874018.1	WP_010907961.1	0	0
NP_214776.1	0	0	WP_012392489.1	0
NP_214777.1	0	0	WP_012392490.1	0
NP_214778.1	WP_003874021.1	0	WP_012392491.1	0
NP_214781.1	WP_003874018.1	0	0	0
NP_214784.1	0	0	WP_012392495.1	0
NP_214785.1	0	0	WP_012392497.1	0
NP_214787.1	0	0	WP_012392500.1	0
NP_214790.1	0	0	WP_011739495.1	0
NP_214795.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1	0
NP_214796.1	0	0	WP_012392508.1	0
NP_214798.1	0	0	WP_012392510.1	0
NP_214801.1	0	0	WP_011739406.1	0
NP_214802.1	WP_003879185.1	0	WP_011740245.1,WP_012392512.1	WP_003892041.1
NP_214804.1	0	0	WP_012392514.1	0
NP_214805.1	0	WP_010907482.1	0	0
NP_214806.1	0	0	WP_012392516.1	WP_003892045.1
NP_214807.1	0	0	WP_012392517.1	0
NP_214808.1	0	0	WP_012392518.1	0
NP_214821.1	WP_003873927.1	0	0	WP_003892052.1
NP_214822.1	0	0	WP_011739419.1	0
NP_214823.1	WP_003879195.1	0	WP_011739420.1	0
NP_214824.1	0	0	WP_011739421.1	0
NP_214825.1	WP_003873922.1	0	0	0
NP_214827.1	WP_003873919.1	0	WP_011742259.1	0
NP_214828.1	0	0	WP_012392528.1	0
NP_214829.1	WP_003879204.1	0	0	WP_003896743.1
NP_214835.1	WP_003873894.1	0	WP_012392561.1	WP_003892096.1
NP_214841.1	0	0	WP_012392858.1	0
NP_214842.1	WP_009974345.1	0	WP_011739625.1	WP_003895430.1,WP_003896342.1
NP_214844.1	WP_008257468.1	0	0	0
NP_214846.1	0	0	0	WP_003892101.1
NP_214847.1	0	0	WP_012392566.1	0
NP_214848.1	WP_003879222.1	0	WP_011738875.1	0
NP_214851.1	0	0	WP_011738880.1	WP_003892107.1
NP_214854.1	0	0	WP_011738884.1	0
NP_214858.1	0	0	WP_011738891.1	WP_003892129.1
NP_214864.1	0	0	0	WP_003892134.1
NP_214865.1	0	0	0	WP_003892135.1
NP_214867.1	WP_003874674.1,WP_003875976.1	0	WP_012392599.1	WP_003892138.1
NP_214870.1	WP_003873841.1	0	0	0
NP_214871.1	WP_003873842.1	WP_010907645.1	WP_012392636.1	0
NP_214872.1	0	WP_010907646.1	0	0
NP_214874.1	0	WP_010907648.1	0	WP_003892178.1
NP_214875.1	WP_003873848.1	WP_010907649.1	WP_011740742.1	WP_003892177.1
NP_214877.1	0	WP_010907650.1	WP_012392628.1	WP_003892176.1
NP_214878.1	0	WP_010907651.1	WP_012392627.1	0
NP_214880.1	WP_003876749.1	0	0	0
NP_214881.1	0	0	0	WP_003894879.1
NP_214883.1	0	0	WP_012392620.1	0
NP_214884.1	WP_003875882.1	0	WP_011741427.1,WP_012392619.1	WP_003895962.1
NP_214885.1	0	0	WP_012392618.1	0
NP_214886.1	0	0	0	WP_003892167.1
NP_214887.1	0	0	WP_012392616.1	0
NP_214888.1	0	0	0	WP_003892165.1,WP_003893831.1,WP_003894329.1
NP_214891.1	0	0	WP_012392612.1	0
NP_214894.1	0	0	WP_012392610.1	0
NP_214897.1	WP_003873856.1	0	WP_012392606.1	WP_003892156.1
NP_214898.1	WP_003873857.1	WP_010907619.1	WP_012392604.1	0
NP_214899.1	0	0	WP_012392603.1	0
NP_214900.1	0	WP_010908523.1	WP_012393191.1	WP_003894196.1
NP_214903.1	0	0	0	WP_003892190.1,WP_003896675.1
NP_214904.1	WP_003873839.1	0	0	WP_003892192.1
NP_214905.1	0	WP_010907642.1	0	0
NP_214906.1	WP_003876526.1	0	WP_011740889.1	WP_003895076.1
NP_214912.1	0	0	WP_012392649.1	0
NP_214915.1	WP_003873830.1	WP_010907641.1	WP_011740726.1	0
NP_214916.1	WP_003873762.1	0	WP_012392249.1	0
NP_214917.1	WP_003876149.1	0	WP_011739028.1,WP_011740286.1,WP_012392098.1,WP_012392656.1,WP_012392718.1,WP_012392720.1,WP_012393517.1,WP_012393537.1	WP_003891996.1
NP_214918.1	0	WP_010907551.1,WP_010907557.1,WP_010908216.1	WP_012393584.1	0
NP_214919.1	0	WP_010907554.1	0	0
NP_214920.1	0	WP_010907640.1	0	WP_003892202.1
NP_214921.1	0	WP_010907639.1	WP_012392659.1	WP_003892203.1,WP_003893189.1
NP_214922.1	0	0	WP_012392660.1	0
NP_214923.1	0	0	WP_012392661.1	0
NP_214924.1	0	WP_010907662.1	WP_012392663.1	0
NP_214925.1	WP_003873816.1	0	WP_011740718.1	0
NP_214926.1	WP_003879271.1	0	WP_012392664.1	0
NP_214927.1	0	0	WP_012392665.1	0
NP_214928.1	0	WP_010907660.1	WP_012392666.1	0
NP_214929.1	0	WP_010907659.1	WP_012392667.1	0
NP_214930.1	WP_003873811.1	WP_010907658.1	0	0
NP_214931.1	0	WP_010907657.1	WP_012392668.1	0
NP_214934.1	0	0	WP_011741342.1	0
NP_214935.1	0	0	WP_012392682.1	0
NP_214936.1	0	WP_010907656.1	WP_012392683.1	0
NP_214937.1	0	0	WP_012392684.1	0
NP_214938.1	WP_003873796.1	0	0	0
NP_214940.1	WP_003873794.1	0	WP_011739540.1	0
NP_214942.1	0	0	WP_012392691.1	WP_003892260.1
NP_214943.1	0	WP_010908623.1	WP_012392692.1	0
NP_214944.1	WP_003873790.1	WP_010908621.1	WP_012392693.1	WP_003892262.1
NP_214945.1	WP_003873789.1	0	WP_012392694.1	0
NP_214946.1	0	WP_010908619.1	0	0
NP_214947.1	0	0	0	WP_003892265.1
NP_214948.1	0	0	WP_012392699.1	0
NP_214949.1	0	0	WP_012392700.1	0
NP_214950.1	WP_003873780.1	WP_010907664.1	0	WP_003892285.1
NP_214951.1	0	WP_010907665.1	WP_012392702.1	0
NP_214953.1	0	WP_010907667.1	0	WP_003892304.1
NP_214954.1	0	WP_010907669.1,WP_010907697.1	WP_012392707.1,WP_012393010.1	WP_003892307.1,WP_003893353.1
NP_214955.1	WP_003873771.1	0	0	WP_003892309.1
NP_214957.1	0	0	WP_012392711.1	WP_003892314.1
NP_214958.1	0	0	WP_011739563.1	0
NP_214959.1	0	0	WP_011739564.1	0
NP_214962.1	0	0	WP_012392715.1	0
NP_214963.1	0	WP_010907496.1	0	0
NP_214964.1	WP_003873762.1	0	WP_012392249.1	0
NP_214965.1	WP_003876149.1	0	WP_011739028.1,WP_011740286.1,WP_012392098.1,WP_012392656.1,WP_012392718.1,WP_012392720.1,WP_012393517.1,WP_012393537.1	WP_003891996.1
NP_214969.1	WP_003873761.1	0	WP_012392723.1	0
NP_214970.1	0	0	WP_011739574.1	0
NP_214972.1	0	0	WP_012392725.1	0
NP_214973.1	0	0	WP_012392726.1	0
NP_214974.1	0	0	WP_012392727.1	0
NP_214975.1	0	0	WP_012392728.1	0
NP_214976.1	WP_003873752.1	0	0	0
NP_214977.1	0	0	WP_011740227.1	0
NP_214978.1	WP_003879295.1	0	WP_012392733.1	0
NP_214979.1	0	0	WP_012392734.1	WP_003892333.1
NP_214980.1	WP_003879297.1	0	0	0
NP_214982.1	0	0	WP_012392737.1	WP_003892338.1
NP_214986.1	0	0	WP_011742055.1,WP_012392368.1,WP_012392638.1,WP_012392740.1	0
NP_214988.1	WP_003873735.1	0	WP_012392742.1	0
NP_214989.1	0	0	WP_012392743.1	0
NP_214990.1	WP_003879303.1	0	WP_012392744.1	0
NP_214991.1	0	0	WP_012392745.1	0
NP_214992.1	0	0	0	WP_003892348.1,WP_003894477.1
NP_214993.1	0	0	WP_012392746.1	0
NP_214994.2	0	0	WP_012392747.1	0
NP_214995.1	WP_003873729.1	0	WP_011742104.1	WP_003892353.1
NP_214996.1	0	0	0	WP_003892354.1
NP_214998.1	0	0	WP_011738936.1	0
NP_215001.1	WP_003873723.1	0	WP_012392754.1	WP_003892360.1
NP_215004.1	0	0	WP_012392756.1	0
NP_215005.1	WP_003873718.1,WP_003875752.1,WP_003876976.1,WP_003877545.1,WP_007168097.1,WP_008257471.1	WP_010907575.1,WP_010907921.1	WP_011742113.1	0
NP_215008.2	0	0	WP_012392759.1	WP_003895268.1
NP_215009.1	WP_003879313.1	0	0	0
NP_215010.3	WP_003873714.1	0	WP_012392761.1	WP_003892366.1
NP_215011.1	0	0	WP_012392762.1	0
NP_215012.1	WP_003873712.1	0	WP_012392763.1	0
NP_215015.2	0	0	0	WP_003892259.1,WP_003894915.1
NP_215016.1	0	0	0	WP_003892373.1
NP_215017.1	WP_003873564.1,WP_003873565.1,WP_003873706.1,WP_003873739.1,WP_003879399.1,WP_009974331.1	WP_010908600.1,WP_010908601.1	WP_011742094.1,WP_012392738.1,WP_012392768.1,WP_012392891.1,WP_012392892.1,WP_012392893.1,WP_012392894.1	WP_003892339.1,WP_003892738.1,WP_003892739.1
NP_215018.1	0	WP_010908608.1	WP_012392769.1,WP_012392885.1	0
NP_215020.1	WP_003876149.1	0	WP_011739028.1,WP_011740286.1,WP_012392656.1,WP_012392718.1,WP_012392720.1,WP_012392776.1,WP_012393517.1,WP_012393537.1	WP_003891996.1
NP_215021.1	WP_003873762.1	0	WP_012392249.1	0
NP_215022.1	0	0	WP_011742143.1	WP_003892376.1
NP_215023.1	WP_003879324.1	0	WP_012392779.1	0
NP_215024.1	0	0	WP_012392780.1	0
NP_215025.2	0	0	WP_012393682.1	WP_003893999.1
NP_215027.1	WP_003873690.1	0	WP_011742148.1	0
NP_215028.1	WP_003873689.1	0	WP_011742149.1	0
NP_215030.1	0	0	WP_011738902.1	0
NP_215031.1	WP_003873687.1	0	0	0
NP_215032.1	WP_003873686.1	0	WP_012392787.1	WP_003894934.1
NP_215038.1	0	0	0	WP_003892395.1
NP_215039.1	0	0	WP_011738915.1	0
NP_215040.1	WP_003877663.1	0	WP_012392801.1	WP_003894525.1
NP_215041.2	0	0	0	WP_003892400.1
NP_215044.1	WP_003874613.1	0	WP_012392805.1,WP_012393211.1	0
NP_215045.1	0	0	WP_012392806.1	WP_003892403.1
NP_215049.1	0	0	WP_012392809.1	0
NP_215050.2	WP_003873708.1	0	WP_012392766.1	0
NP_215055.1	0	0	WP_012392815.1	0
NP_215057.1	WP_003873645.1	0	WP_011738932.1	WP_003892430.1,WP_003892433.1
NP_215060.1	WP_003873642.1	0	0	0
NP_215061.1	0	0	WP_011738936.1	WP_003892441.1
NP_215062.1	0	0	WP_011738937.1	WP_003892442.1
NP_215065.1	0	0	WP_012392821.1	0
NP_215068.1	0	0	WP_012392824.1	WP_003892475.1
NP_215069.1	WP_003879350.1	0	0	0
NP_215070.1	WP_003873631.1	0	WP_012392826.1	0
NP_215071.1	0	0	WP_012392827.1	0
NP_215073.1	WP_003879355.1	0	WP_011738950.1	WP_003894938.1
NP_215076.1	0	0	WP_011738953.1	0
NP_215077.1	0	0	WP_012392834.1	0
NP_215078.1	0	0	WP_012392837.1,WP_012393544.1	WP_003892507.1
NP_215079.1	WP_003873620.1,WP_009974409.1	0	0	0
NP_215080.1	0	0	WP_011738960.1	0
NP_215082.1	0	0	WP_012392858.1	0
NP_215083.1	0	0	0	WP_003895754.1
NP_215089.1	0	0	WP_012392859.1	0
NP_215090.1	0	0	WP_012392862.1	0
NP_215094.1	0	0	WP_012392868.1	0
NP_215097.1	0	0	WP_011738981.1	0
NP_215100.1	0	0	0	WP_003892322.1
NP_215101.1	WP_003873599.1,WP_003874164.1,WP_003875718.1	0	WP_012392389.1	0
NP_215102.1	WP_003872489.1,WP_003874163.1,WP_003875719.1	0	WP_011741592.1,WP_012392390.1	WP_003891465.1
NP_215105.1	0	0	WP_012392393.1	0
NP_215106.1	0	0	WP_012392394.1	0
NP_215107.1	WP_003879093.1	0	0	0
NP_215108.1	WP_003874126.1	0	WP_012392396.1	WP_003891471.1
NP_215114.2	0	0	WP_011739643.1	0
NP_215116.1	WP_003872811.1,WP_003873718.1,WP_003875752.1,WP_003876976.1,WP_007168097.1,WP_009975275.1	WP_010907575.1,WP_010907921.1	WP_011742113.1,WP_011742162.1	0
NP_215134.1	0	0	WP_012392861.1	0
NP_215137.1	0	0	0	WP_003892665.1
NP_215146.1	0	0	WP_011738991.1	0
NP_215147.1	WP_003873578.1	0	0	0
NP_215148.1	0	WP_010908611.1	0	WP_003892726.1
NP_215149.1	WP_003879407.1	WP_010908606.1,WP_010908608.1	WP_011738998.1,WP_012392769.1,WP_012392885.1	WP_003892731.1
NP_215150.1	WP_003879406.1	WP_010908189.1,WP_010908607.1	WP_011738997.1	0
NP_215151.1	WP_003879407.1	WP_010908606.1,WP_010908608.1	WP_011738998.1,WP_012392885.1	WP_003892731.1
NP_215153.1	0	0	WP_012392887.1	0
NP_215154.1	WP_003873569.1	WP_010908603.1	WP_011739001.1	WP_003892734.1
NP_215155.1	WP_003873568.1	WP_010908602.1	WP_012392888.1	WP_003892735.1
NP_215156.1	WP_003873564.1,WP_003873565.1,WP_003873706.1,WP_003873739.1,WP_003879399.1,WP_009974331.1	WP_010908600.1,WP_010908601.1	WP_011742094.1,WP_012392738.1,WP_012392768.1,WP_012392891.1,WP_012392892.1,WP_012392893.1,WP_012392894.1	WP_003892339.1,WP_003892738.1,WP_003892739.1
NP_215157.1	WP_003873564.1,WP_003873565.1,WP_003873706.1,WP_003873739.1,WP_003879399.1,WP_009974331.1	WP_010908600.1,WP_010908601.1	WP_011742094.1,WP_012392738.1,WP_012392768.1,WP_012392891.1,WP_012392892.1,WP_012392893.1,WP_012392894.1	WP_003892339.1,WP_003892738.1,WP_003892739.1
NP_215158.1	WP_003873564.1,WP_003873565.1,WP_003873706.1,WP_003873739.1,WP_003879399.1,WP_009974331.1	WP_010908600.1,WP_010908601.1	WP_011742094.1,WP_012392738.1,WP_012392768.1,WP_012392891.1,WP_012392892.1,WP_012392893.1,WP_012392894.1	WP_003892339.1,WP_003892738.1,WP_003892739.1
NP_215159.1	WP_003873564.1,WP_003873565.1,WP_003873706.1,WP_003873739.1,WP_003879399.1,WP_009974331.1	WP_010908600.1,WP_010908601.1	WP_011742094.1,WP_012392738.1,WP_012392768.1,WP_012392891.1,WP_012392892.1,WP_012392893.1,WP_012392894.1	WP_003892339.1,WP_003892738.1,WP_003892739.1
NP_215160.1	0	WP_010908599.1	WP_012392897.1	WP_003892740.1
NP_215161.1	0	WP_010908598.1	0	0
NP_215165.1	0	WP_010908597.1	WP_011739013.1	WP_003892752.1
NP_215166.1	WP_003873555.1	WP_010908596.1	WP_012392902.1	WP_003892753.1
NP_215169.1	WP_003873552.1	0	WP_012392905.1	WP_003892754.1
NP_215172.1	0	0	WP_012392147.1	0
NP_215181.1	0	0	WP_012392906.1	0
NP_215182.1	0	WP_010908593.1	WP_012392907.1	0
NP_215183.1	0	0	WP_012392909.1	0
NP_215184.1	0	WP_010908592.1	WP_012392911.1	0
NP_215185.1	0	0	WP_012392912.1	0
NP_215187.1	0	0	WP_012392914.1	0
NP_215190.1	WP_003873762.1	0	WP_012392249.1	0
NP_215191.1	WP_003876149.1	0	WP_011739028.1,WP_011740286.1,WP_012392098.1,WP_012392656.1,WP_012392718.1,WP_012392720.1,WP_012393517.1,WP_012393537.1	WP_003891996.1
NP_215193.1	0	0	WP_012392919.1	WP_003892781.1
NP_215194.1	WP_003873543.1	0	WP_012392920.1	WP_003892782.1
NP_215195.1	WP_003873542.1	0	WP_011739032.1	WP_003892785.1
NP_215196.1	WP_003879423.1	WP_010908591.1	WP_003879423.1	0
NP_215197.1	WP_003873540.1	WP_010908590.1	WP_012392921.1	WP_003892787.1
NP_215199.1	WP_003873538.1	WP_010908588.1	WP_011739036.1,WP_011740756.1	WP_003892789.1
NP_215200.1	0	0	WP_011738967.1	0
NP_215201.1	WP_003873026.1	0	0	WP_003893578.1
NP_215203.1	0	0	0	WP_003892803.1
NP_215205.1	WP_003874193.1,WP_003875325.1,WP_003879434.1	0	WP_011742055.1	WP_003892386.1,WP_003894914.1
NP_215206.1	WP_003873526.1	0	0	WP_003892808.1
NP_215209.1	0	0	WP_012392930.1	0
NP_215210.1	0	WP_010907906.1	WP_012393148.1	0
NP_215211.1	0	0	WP_012392932.1	0
NP_215214.1	WP_003873519.1	WP_010908587.1	WP_003403578.1	WP_003883485.1
NP_215215.1	WP_003873518.1	0	WP_012392938.1	WP_003892823.1
NP_215216.1	0	WP_010908585.1	WP_012392939.1	0
NP_215217.1	WP_003873516.1	WP_010908584.1	WP_012392940.1	WP_003892825.1
NP_215218.1	WP_003873515.1	WP_010908583.1	WP_012392941.1	0
NP_215219.1	WP_003873514.1	WP_010908582.1	WP_011739061.1	WP_003892827.1
NP_215220.1	0	WP_010908581.1	WP_012392942.1	0
NP_215221.1	0	WP_010908580.1	WP_011739063.1	WP_003892829.1
NP_215222.1	WP_003873511.1	WP_010908579.1	WP_011739064.1	WP_003892830.1
NP_215223.1	WP_003873510.1	0	WP_011739065.1	WP_003892831.1
NP_215224.1	WP_003873509.1	0	WP_012392943.1	0
NP_215225.1	0	0	WP_012392944.1	0
NP_215226.1	0	0	WP_012392946.1	0
NP_215227.1	0	0	WP_012392947.1	0
NP_215228.1	WP_003403649.1	0	WP_012392948.1	WP_003892852.1
NP_215229.1	WP_003873501.1	WP_010908575.1	WP_011739070.1	WP_003892853.1
NP_215230.1	WP_003873500.1	WP_010908574.1	WP_012392949.1	WP_003892854.1
NP_215232.1	WP_003873498.1	WP_010908572.1	WP_011739073.1	WP_003892856.1
NP_215233.1	WP_003873497.1	WP_010908571.1	WP_011739074.1	WP_003892857.1
NP_215235.1	WP_003873495.1	WP_010908569.1	WP_012392951.1	WP_003892859.1
NP_215236.1	WP_003873494.1	WP_010908568.1	WP_011739077.1	0
NP_215237.1	WP_003873493.1	WP_010908567.1	0	0
NP_215238.1	0	WP_010908566.1	0	0
NP_215239.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1,WP_012393429.1	0
NP_215240.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1,WP_012393429.1	0
NP_215241.1	0	0	WP_011739087.1	0
NP_215244.1	WP_003879460.1	WP_010908565.1	WP_012392962.1	0
NP_215245.1	0	0	WP_012392338.1,WP_012392340.1,WP_012392874.1	0
NP_215246.1	WP_003879461.1	WP_010908564.1	WP_011739091.1	WP_003892870.1
NP_215247.1	WP_003873479.1	WP_010908563.1	WP_011739092.1	WP_003892871.1
NP_215249.1	0	0	WP_011742342.1,WP_012392967.1	WP_003892873.1,WP_003896616.1
NP_215250.1	WP_003873476.1	0	WP_012392968.1	0
NP_215251.1	0	0	WP_012392065.1	WP_003892879.1
NP_215252.1	0	0	WP_012392969.1	0
NP_215265.1	0	0	WP_012392970.1	0
NP_215267.1	0	0	WP_012392972.1	WP_003892885.1,WP_003893815.1
NP_215270.1	0	0	WP_011738791.1	0
NP_215271.1	WP_003872811.1,WP_003873718.1,WP_003875752.1,WP_003876976.1,WP_007168097.1,WP_009975275.1	WP_010907575.1,WP_010907921.1	WP_011742113.1,WP_011742162.1	WP_003891585.1
NP_215273.3	WP_003875754.1	0	WP_011738794.1	0
NP_215276.1	WP_003875757.1	0	0	0
NP_215277.1	WP_003873074.1,WP_003875758.1	0	0	0
NP_215279.1	WP_003875760.1	0	0	0
NP_215281.1	WP_003877118.1	0	WP_011741789.1	0
NP_215283.1	WP_003875764.1	0	0	0
