Protein_1	Protein_2	GN	PP	GF	GC	IN
Rv0007	fadE6	0	1	0	0	0
Rv0007	fucA	0	1	0	0	0
Rv0007	galK	0	1	0	0	0
Rv0007	grcC1	0	1	0	0	0
Rv0007	grcC2	0	1	0	0	0
Rv0007	hbhA	0	1	0	0	0
Rv0007	hemC	0	1	0	0	0
Rv0007	htpX	0	1	0	0	0
Rv0007	hycE	0	1	0	0	0
Rv0007	hycP	0	1	0	0	0
Rv0007	icd2	0	1	0	0	0
Rv0007	ino1	0	1	0	0	0
Rv0007	kmtR	0	1	0	0	0
Rv0007	lpqN	0	1	0	0	0
Rv0007	lpqP	0	1	0	0	0
Rv0007	mak	0	1	0	0	0
Rv0007	mce1C	0	1	0	0	0
Rv0007	mce1D	0	1	0	0	0
Rv0007	mce2C	0	1	0	0	0
Rv0007	mce2D	0	1	0	0	0
Rv0007	mgtA	0	1	0	0	0
Rv0007	mmpL11	0	1	0	0	0
Rv0007	mmpL3	0	1	0	0	0
Rv0007	mmsB	0	1	0	0	0
Rv0007	moaE2	0	1	0	0	0
Rv0007	mtn	0	1	0	0	0
Rv0007	mutT3	0	1	0	0	0
Rv0007	nirD	0	1	0	0	0
Rv0007	nusG	0	1	0	0	0
Rv0007	php	0	1	0	0	0
Rv0007	pta	0	1	0	0	0
Rv0007	ptbB	0	1	0	0	0
Rv0007	rpoB	0	1	0	0	0
Rv0007	rskA	0	1	0	0	0
Rv0007	senX3	0	1	0	0	0
Rv0007	sigK	0	1	0	0	0
Rv0007	tam	0	1	0	0	0
Rv0007	thiC	0	1	0	0	0
Rv0007	zmp1	0	1	0	0	0
Rv0010c	Rv0011c	1	0	0	0	0
Rv0010c	Rv0093c	0	1	0	0	0
Rv0010c	Rv0097	0	1	0	0	0
Rv0010c	Rv0187	0	1	0	0	0
Rv0010c	Rv0358	0	1	0	0	0
Rv0010c	Rv0449c	0	1	0	0	0
Rv0010c	Rv0647c	0	1	0	0	0
Rv0010c	Rv0891c	0	1	0	0	0
Rv0010c	Rv0894	0	1	0	0	0
Rv0010c	Rv0945	0	1	0	0	0
Rv0010c	Rv0950c	0	1	0	0	0
Rv0010c	Rv0955	0	1	0	0	0
Rv0010c	Rv0992c	0	1	0	0	0
Rv0010c	Rv0996	0	1	0	0	0
Rv0010c	Rv1005c	0	1	0	0	0
Rv0010c	fadD10	0	1	0	0	0
Rv0010c	fcoT	0	1	0	0	0
Rv0010c	fhaA	0	1	0	0	0
Rv0010c	fprB	0	1	0	0	0
Rv0010c	glyA2	0	1	0	0	0
Rv0010c	leuS	0	1	0	0	0
Rv0010c	metZ	0	1	0	0	0
Rv0010c	mprB	0	1	0	0	0
Rv0010c	mtc28	0	1	0	0	0
Rv0010c	mycP3	0	1	0	0	0
Rv0010c	pdc	0	1	0	0	0
Rv0010c	pgi	0	1	0	0	0
Rv0010c	pks6	0	1	0	0	0
Rv0010c	pstP	0	1	0	0	0
Rv0010c	purH	0	1	0	0	0
Rv0010c	sodC	0	1	0	0	0
Rv0010c	sppA	0	1	0	0	0
Rv0010c	sucC	0	1	0	0	0
Rv0011c	Rv0012	1	0	0	0	0
Rv0011c	Rv0361	0	1	0	0	0
Rv0011c	Rv0430	0	1	0	0	0
Rv0011c	Rv0890c	0	1	0	0	0
Rv0011c	Rv0986	0	1	0	0	0
Rv0011c	adk	0	1	0	0	0
Rv0011c	cmaA2	0	1	0	0	0
Rv0011c	cspB	0	1	0	0	0
Rv0011c	cysA2	0	1	0	0	0
Rv0011c	hadA	0	1	0	0	0
Rv0011c	hadC	0	1	0	0	0
Rv0011c	mmaA1	0	1	0	0	0
Rv0011c	mmaA2	0	1	0	0	0
Rv0011c	mmaA3	0	1	0	0	0
Rv0011c	mmaA4	0	1	0	0	0
Rv0011c	mprA	0	1	0	0	0
Rv0011c	phoP	0	1	0	0	0
Rv0011c	prrA	0	1	0	0	0
Rv0011c	rplA	0	1	0	0	0
Rv0011c	rplE	0	1	0	0	0
Rv0011c	rplF	0	1	0	0	0
Rv0011c	rplK	0	1	0	0	0
Rv0011c	rplL	0	1	0	0	0
Rv0011c	rplP	0	1	0	0	0
Rv0011c	rplW	0	1	0	0	0
Rv0011c	rplX	0	1	0	0	0
Rv0011c	rpsE	0	1	0	0	0
Rv0011c	rpsG	0	1	0	0	0
Rv0011c	rpsH	0	1	0	0	0
Rv0011c	rpsJ	0	1	0	0	0
Rv0011c	rpsS	0	1	0	0	0
Rv0011c	secY	0	1	0	0	0
Rv0011c	tuf	0	1	0	0	0
Rv0012	Rv0067c	0	1	0	0	0
Rv0012	Rv0307c	0	1	0	0	0
Rv0012	Rv0315	0	1	0	0	0
Rv0012	Rv0390	0	1	0	0	0
Rv0012	Rv0441c	0	1	0	0	0
Rv0012	Rv0687	0	1	0	0	0
Rv0012	Rv0692	0	1	0	0	0
Rv0012	Rv0859	0	1	0	0	0
Rv0012	hsp	0	1	0	0	0
Rv0012	oxyS	0	1	0	0	0
Rv0027	Rv0028	1	1	0	0	0
Rv0027	Rv0038	0	1	0	0	0
Rv0027	Rv0076c	0	1	0	0	0
Rv0027	Rv0102	0	1	0	0	0
Rv0027	Rv0188	0	1	0	0	0
Rv0027	Rv0311	0	1	0	0	0
Rv0027	Rv0330c	0	1	0	0	0
Rv0027	Rv0356c	0	1	0	0	0
Rv0027	Rv0366c	0	1	0	0	0
Rv0027	Rv0424c	0	1	0	0	0
Rv0027	Rv0466	0	1	0	0	0
Rv0027	Rv0495c	0	1	0	0	0
Rv0027	Rv0517	0	1	0	0	0
Rv0027	Rv0546c	0	1	0	0	0
Rv0027	Rv0565c	0	1	0	0	0
Rv0027	Rv0633c	0	1	0	0	0
Rv0027	Rv0762c	0	1	0	0	0
Rv0027	Rv0763c	0	1	0	0	0
Rv0027	Rv0765c	0	1	0	0	0
Rv0027	Rv0769	0	1	0	0	0
Rv0027	Rv0771	0	1	0	0	0
Rv0027	Rv0776c	0	1	0	0	0
Rv0027	Rv0779c	0	1	0	0	0
Rv0027	Rv0785	0	1	0	0	0
Rv0027	Rv0786c	0	1	0	0	0
Rv0027	Rv0801	0	1	0	0	0
Rv0027	Rv0813c	0	1	0	0	0
Rv0027	Rv0818	0	1	0	0	0
Rv0027	Rv0849	0	1	0	0	0
Rv0027	Rv0879c	0	1	0	0	0
Rv0027	Rv0880	0	1	0	0	0
Rv0027	Rv0885	0	1	0	0	0
Rv0027	Rv0887c	0	1	0	0	0
Rv0027	Rv0895	0	1	0	0	0
Rv0027	Rv0910	0	1	0	0	0
Rv0027	Rv0940c	0	1	0	0	0
Rv0027	Rv0954	0	1	0	0	0
Rv0027	accD3	0	1	0	0	0
Rv0027	cfp29	0	1	0	0	0
Rv0027	citA	0	1	0	0	0
Rv0027	cyp126	0	1	0	0	0
Rv0027	emrB	0	1	0	0	0
Rv0027	gltA2	0	1	0	0	0
Rv0027	lipC	0	1	0	0	0
Rv0027	lipW	0	1	0	0	0
Rv0027	lpdC	0	1	0	0	0
Rv0027	lpqS	0	1	0	0	0
Rv0027	lprK	0	1	0	0	0
Rv0027	lprL	0	1	0	0	0
Rv0027	menD	0	1	0	0	0
Rv0027	mku	0	1	0	0	0
Rv0027	moaA2	0	1	0	0	0
Rv0027	moaD2	0	1	0	0	0
Rv0027	msrA	0	1	0	0	0
Rv0027	narU	0	1	0	0	0
Rv0027	pstA1	0	1	0	0	0
Rv0027	pstC2	0	1	0	0	0
Rv0027	purB	0	1	0	0	0
Rv0027	purC	0	1	0	0	0
Rv0027	purF	0	1	0	0	0
Rv0027	purM	0	1	0	0	0
Rv0027	rimJ	0	1	0	0	0
Rv0028	Rv0038	0	1	0	0	0
Rv0028	Rv0076c	0	1	0	0	0
Rv0028	Rv0102	0	1	0	0	0
Rv0028	Rv0188	0	1	0	0	0
Rv0028	Rv0311	0	1	0	0	0
Rv0028	Rv0330c	0	1	0	0	0
Rv0028	Rv0356c	0	1	0	0	0
Rv0028	Rv0366c	0	1	0	0	0
Rv0028	Rv0424c	0	1	0	0	0
Rv0028	Rv0466	0	1	0	0	0
Rv0028	Rv0495c	0	1	0	0	0
Rv0028	Rv0517	0	1	0	0	0
Rv0028	Rv0546c	0	1	0	0	0
Rv0028	Rv0565c	0	1	0	0	0
Rv0028	Rv0633c	0	1	0	0	0
Rv0028	Rv0762c	0	1	0	0	0
Rv0028	Rv0763c	0	1	0	0	0
Rv0028	Rv0765c	0	1	0	0	0
Rv0028	Rv0769	0	1	0	0	0
Rv0028	Rv0771	0	1	0	0	0
Rv0028	Rv0776c	0	1	0	0	0
Rv0028	Rv0779c	0	1	0	0	0
Rv0028	Rv0785	0	1	0	0	0
Rv0028	Rv0786c	0	1	0	0	0
Rv0028	Rv0801	0	1	0	0	0
Rv0028	Rv0813c	0	1	0	0	0
Rv0028	Rv0818	0	1	0	0	0
Rv0028	Rv0849	0	1	0	0	0
Rv0028	Rv0879c	0	1	0	0	0
Rv0028	Rv0880	0	1	0	0	0
Rv0028	Rv0885	0	1	0	0	0
Rv0028	Rv0887c	0	1	0	0	0
Rv0028	Rv0895	0	1	0	0	0
Rv0028	Rv0910	0	1	0	0	0
Rv0028	Rv0940c	0	1	0	0	0
Rv0028	Rv0954	0	1	0	0	0
Rv0028	accD3	0	1	0	0	0
Rv0028	cfp29	0	1	0	0	0
Rv0028	citA	0	1	0	0	0
Rv0028	cyp126	0	1	0	0	0
Rv0028	emrB	0	1	0	0	0
Rv0028	gltA2	0	1	0	0	0
Rv0028	lipC	0	1	0	0	0
Rv0028	lipW	0	1	0	0	0
Rv0028	lpdC	0	1	0	0	0
Rv0028	lpqS	0	1	0	0	0
Rv0028	lprK	0	1	0	0	0
Rv0028	lprL	0	1	0	0	0
Rv0028	menD	0	1	0	0	0
Rv0028	mku	0	1	0	0	0
Rv0028	moaA2	0	1	0	0	0
Rv0028	moaD2	0	1	0	0	0
Rv0028	msrA	0	1	0	0	0
Rv0028	narU	0	1	0	0	0
Rv0028	pstA1	0	1	0	0	0
Rv0028	pstC2	0	1	0	0	0
Rv0028	purB	0	1	0	0	0
Rv0028	purC	0	1	0	0	0
Rv0028	purF	0	1	0	0	0
Rv0028	purM	0	1	0	0	0
Rv0028	rimJ	0	1	0	0	0
Rv0030	Rv0042c	0	1	0	0	0
Rv0030	Rv0044c	0	1	0	0	0
Rv0030	Rv0047c	0	1	0	0	0
Rv0030	Rv0081	0	1	0	0	0
Rv0030	Rv0128	0	1	0	0	0
Rv0030	Rv0177	0	1	0	0	0
Rv0030	Rv0190	0	1	0	0	0
Rv0030	Rv0192	0	1	0	0	0
Rv0030	Rv0203	0	1	0	0	0
Rv0030	Rv0227c	0	1	0	0	0
Rv0030	Rv0245	0	1	0	0	0
Rv0030	Rv0258c	0	1	0	0	0
Rv0030	Rv0264c	0	1	0	0	0
Rv0030	Rv0309	0	1	0	0	0
Rv0030	Rv0313	0	1	0	0	0
Rv0030	Rv0412c	0	1	0	0	0
Rv0030	Rv0426c	0	1	0	0	0
Rv0030	Rv0431	0	1	0	0	0
Rv0030	Rv0455c	0	1	0	0	0
Rv0030	Rv0464c	0	1	0	0	0
Rv0030	Rv0474	0	1	0	0	0
Rv0030	Rv0476	0	1	0	0	0
Rv0030	Rv0498	0	1	0	0	0
Rv0030	Rv0513	0	1	0	0	0
Rv0030	Rv0514	0	1	0	0	0
Rv0030	Rv0530	0	1	0	0	0
Rv0030	Rv0556	0	1	0	0	0
Rv0030	Rv0759c	0	1	0	0	0
Rv0030	Rv0767c	0	1	0	0	0
Rv0030	Rv0810c	0	1	0	0	0
Rv0030	Rv0814c	0	1	0	0	0
Rv0030	Rv0870c	0	1	0	0	0
Rv0030	Rv0898c	0	1	0	0	0
Rv0030	csoR	0	1	0	0	0
Rv0030	ctpA	0	1	0	0	0
Rv0030	ctpB	0	1	0	0	0
Rv0030	ctpV	0	1	0	0	0
Rv0030	echA1	0	1	0	0	0
Rv0030	echA6	0	1	0	0	0
Rv0030	fadE5	0	1	0	0	0
Rv0030	galE2	0	1	0	0	0
Rv0030	glnH	0	1	0	0	0
Rv0030	hemA	0	1	0	0	0
Rv0030	ilvD	0	1	0	0	0
Rv0030	ldtA	0	1	0	0	0
Rv0030	mce1B	0	1	0	0	0
Rv0030	mmpL1	0	1	0	0	0
Rv0030	mmpL2	0	1	0	0	0
Rv0030	mmpL4	0	1	0	0	0
Rv0030	mmpL5	0	1	0	0	0
Rv0030	moaB2	0	1	0	0	0
Rv0030	mog	0	1	0	0	0
Rv0030	phoT	0	1	0	0	0
Rv0030	phoY2	0	1	0	0	0
Rv0030	pntAa	0	1	0	0	0
Rv0030	pstB	0	1	0	0	0
Rv0030	rmlA	0	1	0	0	0
Rv0030	rplI	0	1	0	0	0
Rv0030	rpsF	0	1	0	0	0
Rv0030	rpsQ	0	1	0	0	0
Rv0030	rslA	0	1	0	0	0
Rv0030	yrbE1A	0	1	0	0	0
Rv0030	yrbE2A	0	1	0	0	0
Rv0038	Rv0039c	1	0	0	0	0
Rv0038	Rv0076c	0	1	0	0	0
Rv0038	Rv0102	0	1	0	0	0
Rv0038	Rv0188	0	1	0	0	0
Rv0038	Rv0311	0	1	0	0	0
Rv0038	Rv0330c	0	1	0	0	0
Rv0038	Rv0356c	0	1	0	0	0
Rv0038	Rv0366c	0	1	0	0	0
Rv0038	Rv0424c	0	1	0	0	0
Rv0038	Rv0466	0	1	0	0	0
Rv0038	Rv0495c	0	1	0	0	0
Rv0038	Rv0517	0	1	0	0	0
Rv0038	Rv0546c	0	1	0	0	0
Rv0038	Rv0565c	0	1	0	0	0
Rv0038	Rv0633c	0	1	0	0	0
Rv0038	Rv0762c	0	1	0	0	0
Rv0038	Rv0763c	0	1	0	0	0
Rv0038	Rv0765c	0	1	0	0	0
Rv0038	Rv0769	0	1	0	0	0
Rv0038	Rv0771	0	1	0	0	0
Rv0038	Rv0776c	0	1	0	0	0
Rv0038	Rv0779c	0	1	0	0	0
Rv0038	Rv0785	0	1	0	0	0
Rv0038	Rv0786c	0	1	0	0	0
Rv0038	Rv0801	0	1	0	0	0
Rv0038	Rv0813c	0	1	0	0	0
Rv0038	Rv0818	0	1	0	0	0
Rv0038	Rv0849	0	1	0	0	0
Rv0038	Rv0879c	0	1	0	0	0
Rv0038	Rv0880	0	1	0	0	0
Rv0038	Rv0885	0	1	0	0	0
Rv0038	Rv0887c	0	1	0	0	0
Rv0038	Rv0895	0	1	0	0	0
Rv0038	Rv0910	0	1	0	0	0
Rv0038	Rv0940c	0	1	0	0	0
Rv0038	Rv0954	0	1	0	0	0
Rv0038	accD3	0	1	0	0	0
Rv0038	cfp29	0	1	0	0	0
Rv0038	citA	0	1	0	0	0
Rv0038	cyp126	0	1	0	0	0
Rv0038	emrB	0	1	0	0	0
Rv0038	gltA2	0	1	0	0	0
Rv0038	lipC	0	1	0	0	0
Rv0038	lipW	0	1	0	0	0
Rv0038	lpdC	0	1	0	0	0
Rv0038	lpqS	0	1	0	0	0
Rv0038	lprK	0	1	0	0	0
Rv0038	lprL	0	1	0	0	0
Rv0038	menD	0	1	0	0	0
Rv0038	mku	0	1	0	0	0
Rv0038	moaA2	0	1	0	0	0
Rv0038	moaD2	0	1	0	0	0
Rv0038	msrA	0	1	0	0	0
Rv0038	narU	0	1	0	0	0
Rv0038	pstA1	0	1	0	0	0
Rv0038	pstC2	0	1	0	0	0
Rv0038	purB	0	1	0	0	0
Rv0038	purC	0	1	0	0	0
Rv0038	purF	0	1	0	0	0
Rv0038	purM	0	1	0	0	0
Rv0038	rimJ	0	1	0	0	0
Rv0039c	Rv0078	0	1	0	0	0
Rv0039c	Rv0401	0	1	0	0	0
Rv0039c	Rv0730	0	1	0	0	0
Rv0039c	Rv0991c	0	1	0	0	0
Rv0039c	clpB	0	1	0	0	0
Rv0039c	hadB	0	1	0	0	0
Rv0039c	mscL	0	1	0	0	0
Rv0039c	mtc28	1	0	0	0	0
Rv0039c	narL	0	1	0	0	0
Rv0039c	purA	0	1	0	0	0
Rv0039c	regX3	0	1	0	0	0
Rv0039c	rplB	0	1	0	0	0
Rv0039c	rpmD	0	1	0	0	0
Rv0039c	rpsL	0	1	0	0	0
Rv0039c	tcrA	0	1	0	0	0
Rv0042c	Rv0044c	0	1	0	0	0
Rv0042c	Rv0047c	0	1	0	0	0
Rv0042c	Rv0081	0	1	0	0	0
Rv0042c	Rv0128	0	1	0	0	0
Rv0042c	Rv0177	0	1	0	0	0
Rv0042c	Rv0190	0	1	0	0	0
Rv0042c	Rv0192	0	1	0	0	0
Rv0042c	Rv0203	0	1	0	0	0
Rv0042c	Rv0227c	0	1	0	0	0
Rv0042c	Rv0245	0	1	0	0	0
Rv0042c	Rv0258c	0	1	0	0	0
Rv0042c	Rv0264c	0	1	0	0	0
Rv0042c	Rv0309	0	1	0	0	0
Rv0042c	Rv0313	0	1	0	0	0
Rv0042c	Rv0412c	0	1	0	0	0
Rv0042c	Rv0426c	0	1	0	0	0
Rv0042c	Rv0431	0	1	0	0	0
Rv0042c	Rv0455c	0	1	0	0	0
Rv0042c	Rv0464c	0	1	0	0	0
Rv0042c	Rv0474	0	1	0	0	0
Rv0042c	Rv0476	0	1	0	0	0
Rv0042c	Rv0498	0	1	0	0	0
Rv0042c	Rv0513	0	1	0	0	0
Rv0042c	Rv0514	0	1	0	0	0
Rv0042c	Rv0530	0	1	0	0	0
Rv0042c	Rv0556	0	1	0	0	0
Rv0042c	Rv0759c	0	1	0	0	0
Rv0042c	Rv0767c	0	1	0	0	0
Rv0042c	Rv0810c	0	1	0	0	0
Rv0042c	Rv0814c	0	1	0	0	0
Rv0042c	Rv0870c	0	1	0	0	0
Rv0042c	Rv0898c	0	1	0	0	0
Rv0042c	csoR	0	1	0	0	0
Rv0042c	ctpA	0	1	0	0	0
Rv0042c	ctpB	0	1	0	0	0
Rv0042c	ctpV	0	1	0	0	0
Rv0042c	echA1	0	1	0	0	0
Rv0042c	echA6	0	1	0	0	0
Rv0042c	fadE5	0	1	0	0	0
Rv0042c	galE2	0	1	0	0	0
Rv0042c	glnH	0	1	0	0	0
Rv0042c	hemA	0	1	0	0	0
Rv0042c	ilvD	0	1	0	0	0
Rv0042c	ldtA	0	1	0	0	0
Rv0042c	mce1B	0	1	0	0	0
Rv0042c	mmpL1	0	1	0	0	0
Rv0042c	mmpL2	0	1	0	0	0
Rv0042c	mmpL4	0	1	0	0	0
Rv0042c	mmpL5	0	1	0	0	0
Rv0042c	moaB2	0	1	0	0	0
Rv0042c	mog	0	1	0	0	0
Rv0042c	phoT	0	1	0	0	0
Rv0042c	phoY2	0	1	0	0	0
Rv0042c	pntAa	0	1	0	0	0
Rv0042c	pstB	0	1	0	0	0
Rv0042c	rmlA	0	1	0	0	0
Rv0042c	rplI	0	1	0	0	0
Rv0042c	rpsF	0	1	0	0	0
Rv0042c	rpsQ	0	1	0	0	0
Rv0042c	rslA	0	1	0	0	0
Rv0042c	yrbE1A	0	1	0	0	0
Rv0042c	yrbE2A	0	1	0	0	0
Rv0044c	Rv0047c	0	1	0	0	0
Rv0044c	Rv0081	0	1	0	0	0
Rv0044c	Rv0128	0	1	0	0	0
Rv0044c	Rv0177	0	1	0	0	0
Rv0044c	Rv0190	0	1	0	0	0
Rv0044c	Rv0192	0	1	0	0	0
Rv0044c	Rv0203	0	1	0	0	0
Rv0044c	Rv0227c	0	1	0	0	0
Rv0044c	Rv0245	0	1	0	0	0
Rv0044c	Rv0258c	0	1	0	0	0
Rv0044c	Rv0264c	0	1	0	0	0
Rv0044c	Rv0309	0	1	0	0	0
Rv0044c	Rv0313	0	1	0	0	0
Rv0044c	Rv0412c	0	1	0	0	0
Rv0044c	Rv0426c	0	1	0	0	0
Rv0044c	Rv0431	0	1	0	0	0
Rv0044c	Rv0455c	0	1	0	0	0
Rv0044c	Rv0464c	0	1	0	0	0
Rv0044c	Rv0474	0	1	0	0	0
Rv0044c	Rv0476	0	1	0	0	0
Rv0044c	Rv0498	0	1	0	0	0
Rv0044c	Rv0513	0	1	0	0	0
Rv0044c	Rv0514	0	1	0	0	0
Rv0044c	Rv0530	0	1	0	0	0
Rv0044c	Rv0556	0	1	0	0	0
Rv0044c	Rv0759c	0	1	0	0	0
Rv0044c	Rv0767c	0	1	0	0	0
Rv0044c	Rv0810c	0	1	0	0	0
Rv0044c	Rv0814c	0	1	0	0	0
Rv0044c	Rv0870c	0	1	0	0	0
Rv0044c	Rv0898c	0	1	0	0	0
Rv0044c	csoR	0	1	0	0	0
Rv0044c	ctpA	0	1	0	0	0
Rv0044c	ctpB	0	1	0	0	0
Rv0044c	ctpV	0	1	0	0	0
Rv0044c	echA1	0	1	0	0	0
Rv0044c	echA6	0	1	0	0	0
Rv0044c	fadE5	0	1	0	0	0
Rv0044c	galE2	0	1	0	0	0
Rv0044c	glnH	0	1	0	0	0
Rv0044c	hemA	0	1	0	0	0
Rv0044c	ilvD	0	1	0	0	0
Rv0044c	ldtA	0	1	0	0	0
Rv0044c	mce1B	0	1	0	0	0
Rv0044c	mmpL1	0	1	0	0	0
Rv0044c	mmpL2	0	1	0	0	0
Rv0044c	mmpL4	0	1	0	0	0
Rv0044c	mmpL5	0	1	0	0	0
Rv0044c	moaB2	0	1	0	0	0
Rv0044c	mog	0	1	0	0	0
Rv0044c	phoT	0	1	0	0	0
Rv0044c	phoY2	0	1	0	0	0
Rv0044c	pntAa	0	1	0	0	0
